GenNb-1   ||  MinChi2: 499.71850115828573   ||  MeanChi2: 761.8190315271218   ||  StdChi2: 140.62643086787045   ||  
GenNb-2   ||  MinChi2: 499.71850115828573   ||  MeanChi2: 726.5827229735299   ||  StdChi2: 142.45659860629243   ||  
GenNb-3   ||  MinChi2: 160.33650112124474   ||  MeanChi2: 656.9276447751466   ||  StdChi2: 209.1777706829717   ||  
GenNb-4   ||  MinChi2: 160.33650112124474   ||  MeanChi2: 566.5215701257848   ||  StdChi2: 202.3165228983173   ||  
GenNb-5   ||  MinChi2: 160.33650112124474   ||  MeanChi2: 545.2498555651121   ||  StdChi2: 191.2835317846339   ||  
