GenNb-1   ||  MinChi2: 337.73075758355225   ||  MeanChi2: 781.9722747302847   ||  StdChi2: 158.81362505442107   ||  
GenNb-2   ||  MinChi2: 301.60911861995595   ||  MeanChi2: 765.5623876377737   ||  StdChi2: 161.64041242227256   ||  
GenNb-3   ||  MinChi2: 301.60911861995595   ||  MeanChi2: 737.4179436403163   ||  StdChi2: 151.97663082786693   ||  
GenNb-4   ||  MinChi2: 301.60911861995595   ||  MeanChi2: 732.2116391470493   ||  StdChi2: 150.90483559071447   ||  
GenNb-5   ||  MinChi2: 301.60911861995595   ||  MeanChi2: 693.5001621148956   ||  StdChi2: 175.40453858682434   ||  
