GenNb-1   ||  MinChi2: 13006.479587031012   ||  MeanChi2: 18530.59112500777   ||  StdChi2: 4754.53018029749   ||  
GenNb-2   ||  MinChi2: 9649.09321416312   ||  MeanChi2: 16559.706335474864   ||  StdChi2: 6301.208475354227   ||  
GenNb-3   ||  MinChi2: 8610.186456459203   ||  MeanChi2: 14169.435637587201   ||  StdChi2: 7010.083242169616   ||  
GenNb-4   ||  MinChi2: 8610.186456459203   ||  MeanChi2: 11458.601793340413   ||  StdChi2: 2570.9095409702754   ||  
GenNb-5   ||  MinChi2: 8610.186456459203   ||  MeanChi2: 11151.153153965086   ||  StdChi2: 2520.397038947094   ||  
GenNb-6   ||  MinChi2: 8450.678566178804   ||  MeanChi2: 8790.159200744982   ||  StdChi2: 500.16298108298037   ||  
GenNb-8   ||  MinChi2: 8035.3255828686   ||  MeanChi2: 8646.443982347331   ||  StdChi2: 603.2038164206009   ||  
GenNb-9   ||  MinChi2: 7881.259777836124   ||  MeanChi2: 8152.239432228569   ||  StdChi2: 214.57331044219214   ||  
GenNb-11   ||  MinChi2: 7679.483482947265   ||  MeanChi2: 8030.677676126814   ||  StdChi2: 261.75212430676925   ||  
GenNb-13   ||  MinChi2: 7679.483482947265   ||  MeanChi2: 7985.1549217851425   ||  StdChi2: 219.9198173654096   ||  
GenNb-14   ||  MinChi2: 7679.483482947265   ||  MeanChi2: 7933.637437381631   ||  StdChi2: 201.39432740243953   ||  
GenNb-15   ||  MinChi2: 7679.483482947265   ||  MeanChi2: 7876.030616101172   ||  StdChi2: 176.99389986744688   ||  
GenNb-16   ||  MinChi2: 7679.483482947265   ||  MeanChi2: 7856.97610659085   ||  StdChi2: 174.00813455894735   ||  
GenNb-17   ||  MinChi2: 7666.462882547864   ||  MeanChi2: 7809.618165060041   ||  StdChi2: 192.63848528436472   ||  
GenNb-18   ||  MinChi2: 7666.462882547864   ||  MeanChi2: 7748.561927412661   ||  StdChi2: 90.39556993963242   ||  
GenNb-20   ||  MinChi2: 7666.462882547864   ||  MeanChi2: 7699.390651807326   ||  StdChi2: 30.9984373279268   ||  
GenNb-22   ||  MinChi2: 7638.941284287979   ||  MeanChi2: 7683.171992781737   ||  StdChi2: 40.08109247574718   ||  
GenNb-26   ||  MinChi2: 7638.941284287979   ||  MeanChi2: 7664.464862894785   ||  StdChi2: 15.438362163634645   ||  
GenNb-27   ||  MinChi2: 7638.941284287979   ||  MeanChi2: 7660.396356817327   ||  StdChi2: 12.876123542642283   ||  
GenNb-29   ||  MinChi2: 7638.941284287979   ||  MeanChi2: 7655.547478774299   ||  StdChi2: 14.458514343363568   ||  
