GenNb-1   ||  MinChi2: 12373.195130111118   ||  MeanChi2: 15688.797354288025   ||  StdChi2: 2377.583308446012   ||  
GenNb-2   ||  MinChi2: 12373.195130111118   ||  MeanChi2: 14498.137161676339   ||  StdChi2: 1507.5021574161844   ||  
GenNb-3   ||  MinChi2: 11305.545380715392   ||  MeanChi2: 13421.213533785149   ||  StdChi2: 1739.071603979197   ||  
GenNb-4   ||  MinChi2: 9790.718363560305   ||  MeanChi2: 12149.954920055037   ||  StdChi2: 2345.791773483917   ||  
GenNb-5   ||  MinChi2: 7964.865476614801   ||  MeanChi2: 11500.80561990645   ||  StdChi2: 2971.4071988983196   ||  
GenNb-6   ||  MinChi2: 6492.200864323533   ||  MeanChi2: 11132.639466833632   ||  StdChi2: 3440.8613239380825   ||  
GenNb-7   ||  MinChi2: 6492.200864323533   ||  MeanChi2: 10898.524849500564   ||  StdChi2: 3554.1922153828386   ||  
GenNb-9   ||  MinChi2: 6204.199644880916   ||  MeanChi2: 10826.52454463991   ||  StdChi2: 3644.4955448022115   ||  
GenNb-10   ||  MinChi2: 4927.737880722488   ||  MeanChi2: 9844.894041263524   ||  StdChi2: 4477.188112499924   ||  
GenNb-12   ||  MinChi2: 4927.737880722488   ||  MeanChi2: 7612.541936570679   ||  StdChi2: 2841.6977780671823   ||  
GenNb-14   ||  MinChi2: 3392.856728663664   ||  MeanChi2: 5367.457336208815   ||  StdChi2: 1349.1932794287084   ||  
GenNb-15   ||  MinChi2: 3323.9291064452054   ||  MeanChi2: 4331.525371908813   ||  StdChi2: 1514.2653121168184   ||  
GenNb-16   ||  MinChi2: 2061.7555392559907   ||  MeanChi2: 3110.7054840807623   ||  StdChi2: 618.8325685411168   ||  
GenNb-17   ||  MinChi2: 2061.7555392559907   ||  MeanChi2: 2850.8324418919324   ||  StdChi2: 545.7446865712739   ||  
GenNb-18   ||  MinChi2: 2061.7555392559907   ||  MeanChi2: 2699.09754704981   ||  StdChi2: 472.58560342728197   ||  
GenNb-19   ||  MinChi2: 2021.4490652271886   ||  MeanChi2: 2689.0209285426095   ||  StdChi2: 486.29854187592446   ||  
GenNb-21   ||  MinChi2: 2021.4490652271886   ||  MeanChi2: 2609.7459749982445   ||  StdChi2: 500.9045896276547   ||  
GenNb-22   ||  MinChi2: 2021.4490652271886   ||  MeanChi2: 2470.676868778478   ||  StdChi2: 552.0345872444422   ||  
GenNb-23   ||  MinChi2: 2021.4490652271886   ||  MeanChi2: 2281.519310936393   ||  StdChi2: 251.41469767380593   ||  
GenNb-25   ||  MinChi2: 1788.3648072780275   ||  MeanChi2: 2043.4242346686806   ||  StdChi2: 228.44748880586909   ||  
GenNb-30   ||  MinChi2: 1634.8243304455243   ||  MeanChi2: 1935.0023251991115   ||  StdChi2: 286.3809814329258   ||  
