GenNb-1   ||  MinChi2: 19827.7905268724   ||  MeanChi2: 19827.7905268724   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 19730.086844389625   ||  MeanChi2: 19730.086844389625   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 19571.900914579408   ||  MeanChi2: 19571.900914579408   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 19545.15509661553   ||  MeanChi2: 19545.15509661553   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 19407.0820676087   ||  MeanChi2: 19407.0820676087   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 19404.353543226018   ||  MeanChi2: 19404.353543226018   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 19395.513634310224   ||  MeanChi2: 19395.513634310224   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 19261.94987689851   ||  MeanChi2: 19261.94987689851   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 19150.464376842636   ||  MeanChi2: 19150.464376842636   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 18478.813385048223   ||  MeanChi2: 18478.813385048223   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 18390.048916135147   ||  MeanChi2: 18390.048916135147   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 18379.95156719442   ||  MeanChi2: 18379.95156719442   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 18342.664183934918   ||  MeanChi2: 18342.664183934918   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 18321.87231463313   ||  MeanChi2: 18321.87231463313   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 18273.000459457835   ||  MeanChi2: 18273.000459457835   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 17906.4597906612   ||  MeanChi2: 17906.4597906612   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 17788.01913823026   ||  MeanChi2: 17788.01913823026   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 17785.6818413995   ||  MeanChi2: 17785.6818413995   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 17568.648157847627   ||  MeanChi2: 17568.648157847627   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 17557.98975778301   ||  MeanChi2: 17557.98975778301   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 16097.131223909397   ||  MeanChi2: 16097.131223909397   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 16012.382546512783   ||  MeanChi2: 16012.382546512783   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: 15876.99992332067   ||  MeanChi2: 15876.99992332067   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: 15819.489410335667   ||  MeanChi2: 15819.489410335667   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: 14976.77678549947   ||  MeanChi2: 14976.77678549947   ||  StdChi2: 0.0   ||  
GenNb-26   ||  MinChi2: 14976.413648937982   ||  MeanChi2: 14976.413648937982   ||  StdChi2: 0.0   ||  
GenNb-27   ||  MinChi2: 14836.937635487171   ||  MeanChi2: 14836.937635487171   ||  StdChi2: 0.0   ||  
GenNb-28   ||  MinChi2: 14797.60788787626   ||  MeanChi2: 14797.60788787626   ||  StdChi2: 0.0   ||  
GenNb-29   ||  MinChi2: 14616.608451722906   ||  MeanChi2: 14616.608451722906   ||  StdChi2: 0.0   ||  
GenNb-30   ||  MinChi2: 13961.652053710728   ||  MeanChi2: 13961.652053710728   ||  StdChi2: 0.0   ||  
