GenNb-1   ||  MinChi2: 20778.581680026313   ||  MeanChi2: 20778.581680026313   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 20677.196740501353   ||  MeanChi2: 20677.196740501353   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 20513.045471788766   ||  MeanChi2: 20513.045471788766   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 20485.290398501646   ||  MeanChi2: 20485.290398501646   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 20342.004179072163   ||  MeanChi2: 20342.004179072163   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 20339.172583667   ||  MeanChi2: 20339.172583667   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 20329.998730338404   ||  MeanChi2: 20329.998730338404   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 20191.38681425809   ||  MeanChi2: 20191.38681425809   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 20075.68396008051   ||  MeanChi2: 20075.68396008051   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 19378.55303250518   ||  MeanChi2: 19378.55303250518   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 19286.411683508963   ||  MeanChi2: 19286.411683508963   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 19275.930056371344   ||  MeanChi2: 19275.930056371344   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 19237.22336020766   ||  MeanChi2: 19237.22336020766   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 19215.63989164799   ||  MeanChi2: 19215.63989164799   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 19164.90686820551   ||  MeanChi2: 19164.90686820551   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 18784.385071501994   ||  MeanChi2: 18784.385071501994   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 18661.41814578444   ||  MeanChi2: 18661.41814578444   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 18658.991485367802   ||  MeanChi2: 18658.991485367802   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 18433.652552172516   ||  MeanChi2: 18433.652552172516   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 18422.58591452465   ||  MeanChi2: 18422.58591452465   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 16905.42787630899   ||  MeanChi2: 16905.42787630899   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 16817.391031755593   ||  MeanChi2: 16817.391031755593   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: 16676.750410429024   ||  MeanChi2: 16676.750410429024   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: 16617.004317262752   ||  MeanChi2: 16617.004317262752   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: 15741.393073936455   ||  MeanChi2: 15741.393073936455   ||  StdChi2: 0.0   ||  
GenNb-26   ||  MinChi2: 15741.015702634726   ||  MeanChi2: 15741.015702634726   ||  StdChi2: 0.0   ||  
GenNb-27   ||  MinChi2: 15596.068477422747   ||  MeanChi2: 15596.068477422747   ||  StdChi2: 0.0   ||  
