GenNb-1   ||  MinChi2: 20710.67903287377   ||  MeanChi2: 20710.67903287377   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 20609.55624298964   ||  MeanChi2: 20609.55624298964   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 20445.829779612537   ||  MeanChi2: 20445.829779612537   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 20418.146577896336   ||  MeanChi2: 20418.146577896336   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 20275.2316036243   ||  MeanChi2: 20275.2316036243   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 20272.407348197055   ||  MeanChi2: 20272.407348197055   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 20263.25727599532   ||  MeanChi2: 20263.25727599532   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 20125.004854391103   ||  MeanChi2: 20125.004854391103   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 20009.60233178203   ||  MeanChi2: 20009.60233178203   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 19314.285936730794   ||  MeanChi2: 19314.285936730794   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 19222.385072469428   ||  MeanChi2: 19222.385072469428   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 19211.930811773997   ||  MeanChi2: 19211.930811773997   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 19173.325192319513   ||  MeanChi2: 19173.325192319513   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 19151.79809774624   ||  MeanChi2: 19151.79809774624   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 19101.1976181346   ||  MeanChi2: 19101.1976181346   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 18721.67150002195   ||  MeanChi2: 18721.67150002195   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 18599.026919624765   ||  MeanChi2: 18599.026919624765   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 18596.60662338296   ||  MeanChi2: 18596.60662338296   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 18371.8591644923   ||  MeanChi2: 18371.8591644923   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 18360.821600385094   ||  MeanChi2: 18360.821600385094   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 16847.673164541095   ||  MeanChi2: 16847.673164541095   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 16759.870507337182   ||  MeanChi2: 16759.870507337182   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: 16619.604368811546   ||  MeanChi2: 16619.604368811546   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: 16560.01749775715   ||  MeanChi2: 16560.01749775715   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: 15686.749397762036   ||  MeanChi2: 15686.749397762036   ||  StdChi2: 0.0   ||  
GenNb-26   ||  MinChi2: 15686.3730403214   ||  MeanChi2: 15686.3730403214   ||  StdChi2: 0.0   ||  
GenNb-27   ||  MinChi2: 15541.81550016026   ||  MeanChi2: 15541.81550016026   ||  StdChi2: 0.0   ||  
GenNb-28   ||  MinChi2: 15501.051561488277   ||  MeanChi2: 15501.051561488277   ||  StdChi2: 0.0   ||  
GenNb-29   ||  MinChi2: 15313.44442287782   ||  MeanChi2: 15313.44442287782   ||  StdChi2: 0.0   ||  
GenNb-30   ||  MinChi2: 14634.472811074806   ||  MeanChi2: 14634.472811074806   ||  StdChi2: 0.0   ||  
GenNb-31   ||  MinChi2: 14456.319793625427   ||  MeanChi2: 14456.319793625427   ||  StdChi2: 0.0   ||  
GenNb-32   ||  MinChi2: 14249.222357199536   ||  MeanChi2: 14249.222357199536   ||  StdChi2: 0.0   ||  
GenNb-33   ||  MinChi2: 13756.417878481247   ||  MeanChi2: 13756.417878481247   ||  StdChi2: 0.0   ||  
GenNb-34   ||  MinChi2: 13726.910095457008   ||  MeanChi2: 13726.910095457008   ||  StdChi2: 0.0   ||  
GenNb-35   ||  MinChi2: 13665.69584530505   ||  MeanChi2: 13665.69584530505   ||  StdChi2: 0.0   ||  
GenNb-36   ||  MinChi2: 13537.940956437884   ||  MeanChi2: 13537.940956437884   ||  StdChi2: 0.0   ||  
GenNb-37   ||  MinChi2: 13533.131539400165   ||  MeanChi2: 13533.131539400165   ||  StdChi2: 0.0   ||  
