GenNb-1   ||  MinChi2: 19507.434906901537   ||  MeanChi2: 19507.434906901537   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 19410.976853413475   ||  MeanChi2: 19410.976853413475   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 19254.809406895914   ||  MeanChi2: 19254.809406895914   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 19228.405087784067   ||  MeanChi2: 19228.405087784067   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 19092.09602448709   ||  MeanChi2: 19092.09602448709   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 19089.40237570702   ||  MeanChi2: 19089.40237570702   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 19080.675461784667   ||  MeanChi2: 19080.675461784667   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 18948.81981729062   ||  MeanChi2: 18948.81981729062   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 18838.761307991645   ||  MeanChi2: 18838.761307991645   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 18175.731587250943   ||  MeanChi2: 18175.731587250943   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 18088.10968246633   ||  MeanChi2: 18088.10968246633   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 18078.142353366125   ||  MeanChi2: 18078.142353366125   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 18041.33519152449   ||  MeanChi2: 18041.33519152449   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 18020.811157714434   ||  MeanChi2: 18020.811157714434   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 17972.569022752177   ||  MeanChi2: 17972.569022752177   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 17610.758773554004   ||  MeanChi2: 17610.758773554004   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 17493.84953603023   ||  MeanChi2: 17493.84953603023   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 17491.542474294365   ||  MeanChi2: 17491.542474294365   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 17277.318756119832   ||  MeanChi2: 17277.318756119832   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 17266.798476727927   ||  MeanChi2: 17266.798476727927   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 15824.987219815423   ||  MeanChi2: 15824.987219815423   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 15741.35094846557   ||  MeanChi2: 15741.35094846557   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: 15607.74712508713   ||  MeanChi2: 15607.74712508713   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: 15550.992912663476   ||  MeanChi2: 15550.992912663476   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: 14719.409641646802   ||  MeanChi2: 14719.409641646802   ||  StdChi2: 0.0   ||  
GenNb-26   ||  MinChi2: 14719.051320464281   ||  MeanChi2: 14719.051320464281   ||  StdChi2: 0.0   ||  
GenNb-27   ||  MinChi2: 14581.426119887996   ||  MeanChi2: 14581.426119887996   ||  StdChi2: 0.0   ||  
GenNb-28   ||  MinChi2: 14542.61873593186   ||  MeanChi2: 14542.61873593186   ||  StdChi2: 0.0   ||  
GenNb-29   ||  MinChi2: 14364.025952814232   ||  MeanChi2: 14364.025952814232   ||  StdChi2: 0.0   ||  
GenNb-30   ||  MinChi2: 13717.81613017367   ||  MeanChi2: 13717.81613017367   ||  StdChi2: 0.0   ||  
