GenNb-1   ||  MinChi2: 7542.621619928216   ||  MeanChi2: 178514.72165339734   ||  StdChi2: 180717.17303221437   ||  
GenNb-2   ||  MinChi2: 7542.621619928216   ||  MeanChi2: 136062.8852296622   ||  StdChi2: 143497.45844457592   ||  
GenNb-3   ||  MinChi2: 7542.621619928216   ||  MeanChi2: 81585.61549267064   ||  StdChi2: 69653.35797890123   ||  
GenNb-4   ||  MinChi2: 7542.621619928216   ||  MeanChi2: 79799.22914977506   ||  StdChi2: 69093.60627977087   ||  
GenNb-5   ||  MinChi2: 7542.621619928216   ||  MeanChi2: 50182.61388594077   ||  StdChi2: 29398.243299955135   ||  
GenNb-6   ||  MinChi2: 7542.621619928216   ||  MeanChi2: 38048.972891586214   ||  StdChi2: 25410.934339211948   ||  
GenNb-7   ||  MinChi2: 1751.6931156006494   ||  MeanChi2: 33939.82417633708   ||  StdChi2: 26730.28632020998   ||  
GenNb-8   ||  MinChi2: 1751.6931156006494   ||  MeanChi2: 15342.251577783094   ||  StdChi2: 9001.049429468687   ||  
GenNb-9   ||  MinChi2: 42.20854012087452   ||  MeanChi2: 7750.593454664399   ||  StdChi2: 6326.054720530287   ||  
GenNb-10   ||  MinChi2: 0.12055692783239537   ||  MeanChi2: 5518.47931342135   ||  StdChi2: 5326.742977672792   ||  
