GenNb-1   ||  MinChi2: 2077.1416214270093   ||  MeanChi2: 206232.404341338   ||  StdChi2: 198489.05875428228   ||  
GenNb-3   ||  MinChi2: 14.707171815288639   ||  MeanChi2: 186367.2380561419   ||  StdChi2: 206060.38271731444   ||  
GenNb-4   ||  MinChi2: 14.707171815288639   ||  MeanChi2: 170481.0723229902   ||  StdChi2: 214818.85733169888   ||  
GenNb-5   ||  MinChi2: 14.707171815288639   ||  MeanChi2: 90827.32610712695   ||  StdChi2: 147655.34424815635   ||  
GenNb-6   ||  MinChi2: 14.707171815288639   ||  MeanChi2: 50922.958422027084   ||  StdChi2: 89583.25768920312   ||  
GenNb-7   ||  MinChi2: 14.707171815288639   ||  MeanChi2: 45764.213272192166   ||  StdChi2: 75503.09181044485   ||  
GenNb-9   ||  MinChi2: 14.707171815288639   ||  MeanChi2: 18158.329164142666   ||  StdChi2: 37792.15416477738   ||  
GenNb-10   ||  MinChi2: 9.25115505714656   ||  MeanChi2: 13207.216818984469   ||  StdChi2: 37308.32136833397   ||  
