GenNb-1   ||  MinChi2: 1261.010023948827   ||  MeanChi2: 185563.03713368843   ||  StdChi2: 210995.5635318083   ||  
GenNb-2   ||  MinChi2: 1261.010023948827   ||  MeanChi2: 131220.04324206838   ||  StdChi2: 143599.23242205716   ||  
GenNb-3   ||  MinChi2: 1261.010023948827   ||  MeanChi2: 89332.22705003292   ||  StdChi2: 74685.90951784211   ||  
GenNb-4   ||  MinChi2: 1261.010023948827   ||  MeanChi2: 65333.686962371685   ||  StdChi2: 69238.6234436595   ||  
GenNb-5   ||  MinChi2: 34.17854142854364   ||  MeanChi2: 49258.09325620156   ||  StdChi2: 59110.24516487225   ||  
GenNb-6   ||  MinChi2: 34.17854142854364   ||  MeanChi2: 34618.568033006355   ||  StdChi2: 41634.382750529025   ||  
GenNb-7   ||  MinChi2: 34.17854142854364   ||  MeanChi2: 29565.996525361817   ||  StdChi2: 39156.30740690284   ||  
GenNb-8   ||  MinChi2: 34.17854142854364   ||  MeanChi2: 23194.253260669815   ||  StdChi2: 34505.434021744615   ||  
GenNb-9   ||  MinChi2: 34.17854142854364   ||  MeanChi2: 11185.259151073415   ||  StdChi2: 17826.878270898356   ||  
GenNb-10   ||  MinChi2: 34.17854142854364   ||  MeanChi2: 8729.68208497891   ||  StdChi2: 17572.77369087839   ||  
GenNb-13   ||  MinChi2: 34.17854142854364   ||  MeanChi2: 7956.923902489837   ||  StdChi2: 17802.124686792533   ||  
GenNb-14   ||  MinChi2: 22.092621362686536   ||  MeanChi2: 2626.5135883284897   ||  StdChi2: 4532.529201582539   ||  
GenNb-15   ||  MinChi2: 11.55195319794526   ||  MeanChi2: 1532.9528678537515   ||  StdChi2: 3013.02707055737   ||  
GenNb-16   ||  MinChi2: 1.628741386934914   ||  MeanChi2: 490.3564853845712   ||  StdChi2: 777.8995435961177   ||  
