GenNb-1   ||  MinChi2: 35614.242063753845   ||  MeanChi2: 217576.83086409498   ||  StdChi2: 164522.57826865377   ||  
GenNb-2   ||  MinChi2: 35614.242063753845   ||  MeanChi2: 184389.637544174   ||  StdChi2: 154243.5976566403   ||  
GenNb-3   ||  MinChi2: 50.20320815736794   ||  MeanChi2: 179405.14069532632   ||  StdChi2: 158999.78979070883   ||  
GenNb-4   ||  MinChi2: 22.753567994435176   ||  MeanChi2: 158422.0729004257   ||  StdChi2: 165961.61038775428   ||  
GenNb-5   ||  MinChi2: 22.753567994435176   ||  MeanChi2: 124677.10113340057   ||  StdChi2: 100237.10108635046   ||  
GenNb-6   ||  MinChi2: 22.753567994435176   ||  MeanChi2: 122049.19183335872   ||  StdChi2: 102631.69422862756   ||  
GenNb-7   ||  MinChi2: 22.753567994435176   ||  MeanChi2: 97048.87934933825   ||  StdChi2: 97734.66504755759   ||  
GenNb-8   ||  MinChi2: 22.753567994435176   ||  MeanChi2: 25957.156873200063   ||  StdChi2: 41344.08573658445   ||  
GenNb-9   ||  MinChi2: 22.753567994435176   ||  MeanChi2: 12289.084443820298   ||  StdChi2: 18216.61074712214   ||  
GenNb-10   ||  MinChi2: 22.753567994435176   ||  MeanChi2: 3726.7926084958767   ||  StdChi2: 5924.857674355121   ||  
GenNb-11   ||  MinChi2: 22.753567994435176   ||  MeanChi2: 2992.1399182833516   ||  StdChi2: 5274.95244400659   ||  
GenNb-12   ||  MinChi2: 0.7882517488326307   ||  MeanChi2: 2868.346842217762   ||  StdChi2: 5328.232452098138   ||  
