GenNb-1   ||  MinChi2: 21003.504643676228   ||  MeanChi2: 21003.504643676228   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 20685.42567619019   ||  MeanChi2: 20685.42567619019   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 20183.07664824952   ||  MeanChi2: 20183.07664824952   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 19916.29025468207   ||  MeanChi2: 19916.29025468207   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 19730.40071154308   ||  MeanChi2: 19730.40071154308   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 19718.59867838313   ||  MeanChi2: 19718.59867838313   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 19715.473795047816   ||  MeanChi2: 19715.473795047816   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 19095.89899764895   ||  MeanChi2: 19095.89899764895   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 18945.458059609045   ||  MeanChi2: 18945.458059609045   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 18733.244211751626   ||  MeanChi2: 18733.244211751626   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 18719.22103676208   ||  MeanChi2: 18719.22103676208   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 18191.99199402797   ||  MeanChi2: 18191.99199402797   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 17955.94780007667   ||  MeanChi2: 17955.94780007667   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 17894.750879986954   ||  MeanChi2: 17894.750879986954   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 17673.078012938313   ||  MeanChi2: 17673.078012938313   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 17572.032595182198   ||  MeanChi2: 17572.032595182198   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 17565.33290362353   ||  MeanChi2: 17565.33290362353   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 17354.374642661765   ||  MeanChi2: 17354.374642661765   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 16458.297247717102   ||  MeanChi2: 16458.297247717102   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 16364.447389568186   ||  MeanChi2: 16364.447389568186   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 16156.217195586216   ||  MeanChi2: 16156.217195586216   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 15737.851730387005   ||  MeanChi2: 15737.851730387005   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: 15668.28859390117   ||  MeanChi2: 15668.28859390117   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: 15518.113324812583   ||  MeanChi2: 15518.113324812583   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: 15517.434890593531   ||  MeanChi2: 15517.434890593531   ||  StdChi2: 0.0   ||  
GenNb-26   ||  MinChi2: 15298.741647210707   ||  MeanChi2: 15298.741647210707   ||  StdChi2: 0.0   ||  
GenNb-27   ||  MinChi2: 15285.453074679672   ||  MeanChi2: 15285.453074679672   ||  StdChi2: 0.0   ||  
GenNb-28   ||  MinChi2: 15238.539214318947   ||  MeanChi2: 15238.539214318947   ||  StdChi2: 0.0   ||  
GenNb-29   ||  MinChi2: 15191.943568039394   ||  MeanChi2: 15191.943568039394   ||  StdChi2: 0.0   ||  
GenNb-30   ||  MinChi2: 14639.723869561936   ||  MeanChi2: 14639.723869561936   ||  StdChi2: 0.0   ||  
GenNb-31   ||  MinChi2: 14267.297282989124   ||  MeanChi2: 14267.297282989124   ||  StdChi2: 0.0   ||  
GenNb-32   ||  MinChi2: 14235.455025571471   ||  MeanChi2: 14235.455025571471   ||  StdChi2: 0.0   ||  
GenNb-33   ||  MinChi2: 14093.644668986886   ||  MeanChi2: 14093.644668986886   ||  StdChi2: 0.0   ||  
GenNb-34   ||  MinChi2: 13774.884459724586   ||  MeanChi2: 13774.884459724586   ||  StdChi2: 0.0   ||  
GenNb-35   ||  MinChi2: 13745.12849230725   ||  MeanChi2: 13745.12849230725   ||  StdChi2: 0.0   ||  
GenNb-36   ||  MinChi2: 13691.757380059977   ||  MeanChi2: 13691.757380059977   ||  StdChi2: 0.0   ||  
GenNb-37   ||  MinChi2: 13568.668042214438   ||  MeanChi2: 13568.668042214438   ||  StdChi2: 0.0   ||  
GenNb-38   ||  MinChi2: 13155.797352466203   ||  MeanChi2: 13155.797352466203   ||  StdChi2: 0.0   ||  
GenNb-39   ||  MinChi2: 13131.695113509042   ||  MeanChi2: 13131.695113509042   ||  StdChi2: 0.0   ||  
GenNb-40   ||  MinChi2: 12985.720155869221   ||  MeanChi2: 12985.720155869221   ||  StdChi2: 0.0   ||  
GenNb-41   ||  MinChi2: 12937.034689671591   ||  MeanChi2: 12937.034689671591   ||  StdChi2: 0.0   ||  
GenNb-42   ||  MinChi2: 12908.13037754431   ||  MeanChi2: 12908.13037754431   ||  StdChi2: 0.0   ||  
GenNb-43   ||  MinChi2: 12422.689933354093   ||  MeanChi2: 12422.689933354093   ||  StdChi2: 0.0   ||  
GenNb-44   ||  MinChi2: 12398.710218574766   ||  MeanChi2: 12398.710218574766   ||  StdChi2: 0.0   ||  
GenNb-45   ||  MinChi2: 12095.877983534108   ||  MeanChi2: 12095.877983534108   ||  StdChi2: 0.0   ||  
GenNb-46   ||  MinChi2: 11633.537697739228   ||  MeanChi2: 11633.537697739228   ||  StdChi2: 0.0   ||  
GenNb-47   ||  MinChi2: 11398.372500388647   ||  MeanChi2: 11398.372500388647   ||  StdChi2: 0.0   ||  
GenNb-48   ||  MinChi2: 11398.09389742696   ||  MeanChi2: 11398.09389742696   ||  StdChi2: 0.0   ||  
