GenNb-1   ||  MinChi2: 20896.57799185916   ||  MeanChi2: 20896.57799185916   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 20579.782362880956   ||  MeanChi2: 20579.782362880956   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 20079.46549132979   ||  MeanChi2: 20079.46549132979   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 19813.76106721584   ||  MeanChi2: 19813.76106721584   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 19628.626560179215   ||  MeanChi2: 19628.626560179215   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 19616.872496113258   ||  MeanChi2: 19616.872496113258   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 19613.76031444252   ||  MeanChi2: 19613.76031444252   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 18996.709338171364   ||  MeanChi2: 18996.709338171364   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 18846.882885137213   ||  MeanChi2: 18846.882885137213   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 18635.536974281367   ||  MeanChi2: 18635.536974281367   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 18621.57120024653   ||  MeanChi2: 18621.57120024653   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 18096.5046048088   ||  MeanChi2: 18096.5046048088   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 17861.431355600867   ||  MeanChi2: 17861.431355600867   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 17800.486452399953   ||  MeanChi2: 17800.486452399953   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 17579.72747500908   ||  MeanChi2: 17579.72747500908   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 17479.09916866587   ||  MeanChi2: 17479.09916866587   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 17472.427145049827   ||  MeanChi2: 17472.427145049827   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 17262.34084849873   ||  MeanChi2: 17262.34084849873   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 16369.984283185177   ||  MeanChi2: 16369.984283185177   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 16276.525775030113   ||  MeanChi2: 16276.525775030113   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 16069.165051900549   ||  MeanChi2: 16069.165051900549   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 15652.551424978654   ||  MeanChi2: 15652.551424978654   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: 15583.280226901685   ||  MeanChi2: 15583.280226901685   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: 15433.73585313689   ||  MeanChi2: 15433.73585313689   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: 15433.060271086988   ||  MeanChi2: 15433.060271086988   ||  StdChi2: 0.0   ||  
GenNb-26   ||  MinChi2: 15215.28738554551   ||  MeanChi2: 15215.28738554551   ||  StdChi2: 0.0   ||  
GenNb-27   ||  MinChi2: 15202.054799435227   ||  MeanChi2: 15202.054799435227   ||  StdChi2: 0.0   ||  
GenNb-28   ||  MinChi2: 15155.338650582527   ||  MeanChi2: 15155.338650582527   ||  StdChi2: 0.0   ||  
GenNb-29   ||  MinChi2: 15108.939463820081   ||  MeanChi2: 15108.939463820081   ||  StdChi2: 0.0   ||  
GenNb-30   ||  MinChi2: 14559.054976093885   ||  MeanChi2: 14559.054976093885   ||  StdChi2: 0.0   ||  
GenNb-31   ||  MinChi2: 14188.210729352955   ||  MeanChi2: 14188.210729352955   ||  StdChi2: 0.0   ||  
GenNb-32   ||  MinChi2: 14156.50404815574   ||  MeanChi2: 14156.50404815574   ||  StdChi2: 0.0   ||  
GenNb-33   ||  MinChi2: 14015.298043690393   ||  MeanChi2: 14015.298043690393   ||  StdChi2: 0.0   ||  
GenNb-34   ||  MinChi2: 13697.899688404113   ||  MeanChi2: 13697.899688404113   ||  StdChi2: 0.0   ||  
GenNb-35   ||  MinChi2: 13668.271092913903   ||  MeanChi2: 13668.271092913903   ||  StdChi2: 0.0   ||  
GenNb-36   ||  MinChi2: 13615.128544386214   ||  MeanChi2: 13615.128544386214   ||  StdChi2: 0.0   ||  
GenNb-37   ||  MinChi2: 13492.566863799719   ||  MeanChi2: 13492.566863799719   ||  StdChi2: 0.0   ||  
GenNb-38   ||  MinChi2: 13081.471503897468   ||  MeanChi2: 13081.471503897468   ||  StdChi2: 0.0   ||  
GenNb-39   ||  MinChi2: 13057.473168270802   ||  MeanChi2: 13057.473168270802   ||  StdChi2: 0.0   ||  
GenNb-40   ||  MinChi2: 12912.128137507156   ||  MeanChi2: 12912.128137507156   ||  StdChi2: 0.0   ||  
GenNb-41   ||  MinChi2: 12863.653009460131   ||  MeanChi2: 12863.653009460131   ||  StdChi2: 0.0   ||  
GenNb-42   ||  MinChi2: 12834.873632584095   ||  MeanChi2: 12834.873632584095   ||  StdChi2: 0.0   ||  
GenNb-43   ||  MinChi2: 12351.538109606796   ||  MeanChi2: 12351.538109606796   ||  StdChi2: 0.0   ||  
GenNb-44   ||  MinChi2: 12327.66270655002   ||  MeanChi2: 12327.66270655002   ||  StdChi2: 0.0   ||  
GenNb-45   ||  MinChi2: 12026.15057957682   ||  MeanChi2: 12026.15057957682   ||  StdChi2: 0.0   ||  
GenNb-46   ||  MinChi2: 11565.836028168376   ||  MeanChi2: 11565.836028168376   ||  StdChi2: 0.0   ||  
GenNb-47   ||  MinChi2: 11331.706182199849   ||  MeanChi2: 11331.706182199849   ||  StdChi2: 0.0   ||  
GenNb-48   ||  MinChi2: 11331.428807882885   ||  MeanChi2: 11331.428807882885   ||  StdChi2: 0.0   ||  
GenNb-49   ||  MinChi2: 11089.877385167574   ||  MeanChi2: 11089.877385167574   ||  StdChi2: 0.0   ||  
GenNb-50   ||  MinChi2: 11064.770054751943   ||  MeanChi2: 11064.770054751943   ||  StdChi2: 0.0   ||  
GenNb-51   ||  MinChi2: 10946.826803257674   ||  MeanChi2: 10946.826803257674   ||  StdChi2: 0.0   ||  
GenNb-52   ||  MinChi2: 10796.570662603846   ||  MeanChi2: 10796.570662603846   ||  StdChi2: 0.0   ||  
GenNb-53   ||  MinChi2: 10794.288679381383   ||  MeanChi2: 10794.288679381383   ||  StdChi2: 0.0   ||  
GenNb-54   ||  MinChi2: 10432.603365732102   ||  MeanChi2: 10432.603365732102   ||  StdChi2: 0.0   ||  
GenNb-55   ||  MinChi2: 10432.343712344937   ||  MeanChi2: 10432.343712344937   ||  StdChi2: 0.0   ||  
GenNb-56   ||  MinChi2: 10185.540976717597   ||  MeanChi2: 10185.540976717597   ||  StdChi2: 0.0   ||  
GenNb-57   ||  MinChi2: 9601.812856650273   ||  MeanChi2: 9601.812856650273   ||  StdChi2: 0.0   ||  
GenNb-58   ||  MinChi2: 9549.786551323663   ||  MeanChi2: 9549.786551323663   ||  StdChi2: 0.0   ||  
GenNb-59   ||  MinChi2: 9356.85607478167   ||  MeanChi2: 9356.85607478167   ||  StdChi2: 0.0   ||  
GenNb-60   ||  MinChi2: 9258.82971718141   ||  MeanChi2: 9258.82971718141   ||  StdChi2: 0.0   ||  
GenNb-61   ||  MinChi2: 9091.108499182095   ||  MeanChi2: 9091.108499182095   ||  StdChi2: 0.0   ||  
GenNb-62   ||  MinChi2: 8683.548056529928   ||  MeanChi2: 8683.548056529928   ||  StdChi2: 0.0   ||  
GenNb-63   ||  MinChi2: 8622.068466207811   ||  MeanChi2: 8622.068466207811   ||  StdChi2: 0.0   ||  
GenNb-64   ||  MinChi2: 8576.560159002349   ||  MeanChi2: 8576.560159002349   ||  StdChi2: 0.0   ||  
GenNb-65   ||  MinChi2: 8413.49493311198   ||  MeanChi2: 8413.49493311198   ||  StdChi2: 0.0   ||  
GenNb-66   ||  MinChi2: 8215.544710801267   ||  MeanChi2: 8215.544710801267   ||  StdChi2: 0.0   ||  
GenNb-67   ||  MinChi2: 8205.077064732322   ||  MeanChi2: 8205.077064732322   ||  StdChi2: 0.0   ||  
GenNb-68   ||  MinChi2: 8073.332085313143   ||  MeanChi2: 8073.332085313143   ||  StdChi2: 0.0   ||  
GenNb-69   ||  MinChi2: 7928.082078038555   ||  MeanChi2: 7928.082078038555   ||  StdChi2: 0.0   ||  
GenNb-70   ||  MinChi2: 7766.517339521347   ||  MeanChi2: 7766.517339521347   ||  StdChi2: 0.0   ||  
GenNb-71   ||  MinChi2: 7601.623729291675   ||  MeanChi2: 7601.623729291675   ||  StdChi2: 0.0   ||  
GenNb-72   ||  MinChi2: 7577.937957372675   ||  MeanChi2: 7577.937957372675   ||  StdChi2: 0.0   ||  
GenNb-73   ||  MinChi2: 7403.560884906203   ||  MeanChi2: 7403.560884906203   ||  StdChi2: 0.0   ||  
GenNb-74   ||  MinChi2: 7403.248442966576   ||  MeanChi2: 7403.248442966576   ||  StdChi2: 0.0   ||  
GenNb-75   ||  MinChi2: 7399.435886616097   ||  MeanChi2: 7399.435886616097   ||  StdChi2: 0.0   ||  
