GenNb-1   ||  MinChi2: 20566.281870072813   ||  MeanChi2: 20566.281870072813   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 20253.455966431447   ||  MeanChi2: 20253.455966431447   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 19759.425086211286   ||  MeanChi2: 19759.425086211286   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 19497.067457601283   ||  MeanChi2: 19497.067457601283   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 19314.268453462508   ||  MeanChi2: 19314.268453462508   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 19302.662768777096   ||  MeanChi2: 19302.662768777096   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 19299.589876255886   ||  MeanChi2: 19299.589876255886   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 18690.345617409657   ||  MeanChi2: 18690.345617409657   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 18542.419886113472   ||  MeanChi2: 18542.419886113472   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 18333.75866551202   ||  MeanChi2: 18333.75866551202   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 18319.970442958915   ||  MeanChi2: 18319.970442958915   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 17801.59265620981   ||  MeanChi2: 17801.59265620981   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 17569.52268112583   ||  MeanChi2: 17569.52268112583   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 17509.357301045584   ||  MeanChi2: 17509.357301045584   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 17291.4251039402   ||  MeanChi2: 17291.4251039402   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 17192.086974136142   ||  MeanChi2: 17192.086974136142   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 17185.50053076443   ||  MeanChi2: 17185.50053076443   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 16978.11131885932   ||  MeanChi2: 16978.11131885932   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 16097.26358477578   ||  MeanChi2: 16097.26358477578   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 16005.015543036956   ||  MeanChi2: 16005.015543036956   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 15800.344131818378   ||  MeanChi2: 15800.344131818378   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 15389.148985036907   ||  MeanChi2: 15389.148985036907   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: 15320.78075544827   ||  MeanChi2: 15320.78075544827   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: 15173.187743024719   ||  MeanChi2: 15173.187743024719   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: 15172.520982729922   ||  MeanChi2: 15172.520982729922   ||  StdChi2: 0.0   ||  
GenNb-26   ||  MinChi2: 14957.59475623299   ||  MeanChi2: 14957.59475623299   ||  StdChi2: 0.0   ||  
GenNb-27   ||  MinChi2: 14944.535335233411   ||  MeanChi2: 14944.535335233411   ||  StdChi2: 0.0   ||  
GenNb-28   ||  MinChi2: 14898.430704551838   ||  MeanChi2: 14898.430704551838   ||  StdChi2: 0.0   ||  
GenNb-29   ||  MinChi2: 14852.639162979267   ||  MeanChi2: 14852.639162979267   ||  StdChi2: 0.0   ||  
GenNb-30   ||  MinChi2: 14309.977387248913   ||  MeanChi2: 14309.977387248913   ||  StdChi2: 0.0   ||  
GenNb-31   ||  MinChi2: 13944.027203799214   ||  MeanChi2: 13944.027203799214   ||  StdChi2: 0.0   ||  
GenNb-32   ||  MinChi2: 13912.739848196481   ||  MeanChi2: 13912.739848196481   ||  StdChi2: 0.0   ||  
GenNb-33   ||  MinChi2: 13773.40304917578   ||  MeanChi2: 13773.40304917578   ||  StdChi2: 0.0   ||  
GenNb-34   ||  MinChi2: 13460.216760355968   ||  MeanChi2: 13460.216760355968   ||  StdChi2: 0.0   ||  
GenNb-35   ||  MinChi2: 13430.982110794997   ||  MeanChi2: 13430.982110794997   ||  StdChi2: 0.0   ||  
GenNb-36   ||  MinChi2: 13378.546481445437   ||  MeanChi2: 13378.546481445437   ||  StdChi2: 0.0   ||  
GenNb-37   ||  MinChi2: 13257.616775742834   ||  MeanChi2: 13257.616775742834   ||  StdChi2: 0.0   ||  
GenNb-38   ||  MinChi2: 12852.01224305845   ||  MeanChi2: 12852.01224305845   ||  StdChi2: 0.0   ||  
