GenNb-1   ||  MinChi2: 19825.892029544135   ||  MeanChi2: 19825.892029544135   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 19521.995689511863   ||  MeanChi2: 19521.995689511863   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 19042.104407755993   ||  MeanChi2: 19042.104407755993   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 18787.274894614216   ||  MeanChi2: 18787.274894614216   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 18609.729209574012   ||  MeanChi2: 18609.729209574012   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 18598.457277969275   ||  MeanChi2: 18598.457277969275   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 18595.47275939114   ||  MeanChi2: 18595.47275939114   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 18003.788107769527   ||  MeanChi2: 18003.788107769527   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 17860.13759448777   ||  MeanChi2: 17860.13759448777   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 17657.514896939505   ||  MeanChi2: 17657.514896939505   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 17644.126029125313   ||  MeanChi2: 17644.126029125313   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 17140.792766140727   ||  MeanChi2: 17140.792766140727   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 16915.477671428664   ||  MeanChi2: 16915.477671428664   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 16857.065561820742   ||  MeanChi2: 16857.065561820742   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 16645.49120045083   ||  MeanChi2: 16645.49120045083   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 16549.054842870984   ||  MeanChi2: 16549.054842870984   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 16542.6608799682   ||  MeanChi2: 16542.6608799682   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 16341.33771295372   ||  MeanChi2: 16341.33771295372   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 15486.37397197576   ||  MeanChi2: 15486.37397197576   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 15396.848272381158   ||  MeanChi2: 15396.848272381158   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 15198.225086488497   ||  MeanChi2: 15198.225086488497   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 14799.215838497426   ||  MeanChi2: 14799.215838497426   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: 14732.878316373914   ||  MeanChi2: 14732.878316373914   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: 14589.673742640576   ||  MeanChi2: 14589.673742640576   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: 14589.026821614407   ||  MeanChi2: 14589.026821614407   ||  StdChi2: 0.0   ||  
GenNb-26   ||  MinChi2: 14380.50241788609   ||  MeanChi2: 14380.50241788609   ||  StdChi2: 0.0   ||  
GenNb-27   ||  MinChi2: 14367.832423803527   ||  MeanChi2: 14367.832423803527   ||  StdChi2: 0.0   ||  
GenNb-28   ||  MinChi2: 14323.103019685248   ||  MeanChi2: 14323.103019685248   ||  StdChi2: 0.0   ||  
GenNb-29   ||  MinChi2: 14278.677991473418   ||  MeanChi2: 14278.677991473418   ||  StdChi2: 0.0   ||  
GenNb-30   ||  MinChi2: 13752.258875666894   ||  MeanChi2: 13752.258875666894   ||  StdChi2: 0.0   ||  
GenNb-31   ||  MinChi2: 13397.314334862293   ||  MeanChi2: 13397.314334862293   ||  StdChi2: 0.0   ||  
GenNb-32   ||  MinChi2: 13366.96993704172   ||  MeanChi2: 13366.96993704172   ||  StdChi2: 0.0   ||  
GenNb-33   ||  MinChi2: 13231.836489971443   ||  MeanChi2: 13231.836489971443   ||  StdChi2: 0.0   ||  
GenNb-34   ||  MinChi2: 12928.121905301832   ||  MeanChi2: 12928.121905301832   ||  StdChi2: 0.0   ||  
GenNb-35   ||  MinChi2: 12899.773115699047   ||  MeanChi2: 12899.773115699047   ||  StdChi2: 0.0   ||  
GenNb-36   ||  MinChi2: 12848.927120348677   ||  MeanChi2: 12848.927120348677   ||  StdChi2: 0.0   ||  
GenNb-37   ||  MinChi2: 12731.66718217007   ||  MeanChi2: 12731.66718217007   ||  StdChi2: 0.0   ||  
GenNb-38   ||  MinChi2: 12338.409487749006   ||  MeanChi2: 12338.409487749006   ||  StdChi2: 0.0   ||  
GenNb-39   ||  MinChi2: 12315.455107696062   ||  MeanChi2: 12315.455107696062   ||  StdChi2: 0.0   ||  
GenNb-40   ||  MinChi2: 12176.439150513968   ||  MeanChi2: 12176.439150513968   ||  StdChi2: 0.0   ||  
GenNb-41   ||  MinChi2: 12130.07734181897   ||  MeanChi2: 12130.07734181897   ||  StdChi2: 0.0   ||  
GenNb-42   ||  MinChi2: 12102.553216874472   ||  MeanChi2: 12102.553216874472   ||  StdChi2: 0.0   ||  
GenNb-43   ||  MinChi2: 11640.365913611879   ||  MeanChi2: 11640.365913611879   ||  StdChi2: 0.0   ||  
GenNb-44   ||  MinChi2: 11617.538514962802   ||  MeanChi2: 11617.538514962802   ||  StdChi2: 0.0   ||  
GenNb-45   ||  MinChi2: 11329.289157380867   ||  MeanChi2: 11329.289157380867   ||  StdChi2: 0.0   ||  
GenNb-46   ||  MinChi2: 10889.326020629538   ||  MeanChi2: 10889.326020629538   ||  StdChi2: 0.0   ||  
GenNb-47   ||  MinChi2: 10665.597483225516   ||  MeanChi2: 10665.597483225516   ||  StdChi2: 0.0   ||  
GenNb-48   ||  MinChi2: 10665.332451956841   ||  MeanChi2: 10665.332451956841   ||  StdChi2: 0.0   ||  
GenNb-49   ||  MinChi2: 10434.548861660138   ||  MeanChi2: 10434.548861660138   ||  StdChi2: 0.0   ||  
GenNb-50   ||  MinChi2: 10410.562951832424   ||  MeanChi2: 10410.562951832424   ||  StdChi2: 0.0   ||  
GenNb-51   ||  MinChi2: 10297.893260927764   ||  MeanChi2: 10297.893260927764   ||  StdChi2: 0.0   ||  
GenNb-52   ||  MinChi2: 10154.369075183522   ||  MeanChi2: 10154.369075183522   ||  StdChi2: 0.0   ||  
GenNb-53   ||  MinChi2: 10152.189451016779   ||  MeanChi2: 10152.189451016779   ||  StdChi2: 0.0   ||  
GenNb-54   ||  MinChi2: 9806.773708730598   ||  MeanChi2: 9806.773708730598   ||  StdChi2: 0.0   ||  
GenNb-55   ||  MinChi2: 9806.525768702357   ||  MeanChi2: 9806.525768702357   ||  StdChi2: 0.0   ||  
GenNb-56   ||  MinChi2: 9570.879026430126   ||  MeanChi2: 9570.879026430126   ||  StdChi2: 0.0   ||  
GenNb-57   ||  MinChi2: 9013.7217683851   ||  MeanChi2: 9013.7217683851   ||  StdChi2: 0.0   ||  
GenNb-58   ||  MinChi2: 8964.076864840847   ||  MeanChi2: 8964.076864840847   ||  StdChi2: 0.0   ||  
GenNb-59   ||  MinChi2: 8779.997088880053   ||  MeanChi2: 8779.997088880053   ||  StdChi2: 0.0   ||  
GenNb-60   ||  MinChi2: 8686.479797505606   ||  MeanChi2: 8686.479797505606   ||  StdChi2: 0.0   ||  
GenNb-61   ||  MinChi2: 8526.492884881218   ||  MeanChi2: 8526.492884881218   ||  StdChi2: 0.0   ||  
GenNb-62   ||  MinChi2: 8137.832510955975   ||  MeanChi2: 8137.832510955975   ||  StdChi2: 0.0   ||  
GenNb-63   ||  MinChi2: 8079.217439604329   ||  MeanChi2: 8079.217439604329   ||  StdChi2: 0.0   ||  
