GenNb-1   ||  MinChi2: 23900.276086215374   ||  MeanChi2: 164507.51316404986   ||  StdChi2: 87679.26147594287   ||  
GenNb-2   ||  MinChi2: 1497.1430748578464   ||  MeanChi2: 129008.14750073192   ||  StdChi2: 86384.62271348175   ||  
GenNb-3   ||  MinChi2: 1497.1430748578464   ||  MeanChi2: 112943.12054369174   ||  StdChi2: 69576.50814595785   ||  
GenNb-4   ||  MinChi2: 1497.1430748578464   ||  MeanChi2: 110158.84930904635   ||  StdChi2: 64530.0448297889   ||  
GenNb-5   ||  MinChi2: 544.2896334578479   ||  MeanChi2: 85491.480515342   ||  StdChi2: 72951.41885648272   ||  
GenNb-7   ||  MinChi2: 544.2896334578479   ||  MeanChi2: 64658.76976048601   ||  StdChi2: 66458.92407960111   ||  
GenNb-8   ||  MinChi2: 544.2896334578479   ||  MeanChi2: 43950.551966610765   ||  StdChi2: 60316.51775127935   ||  
GenNb-9   ||  MinChi2: 544.2896334578479   ||  MeanChi2: 34630.221146681455   ||  StdChi2: 58527.957968259696   ||  
GenNb-10   ||  MinChi2: 2.2403592231154428   ||  MeanChi2: 17490.521992447455   ||  StdChi2: 30733.34911150153   ||  
