GenNb-1   ||  MinChi2: 19784.482785282464   ||  MeanChi2: 195031.3274515673   ||  StdChi2: 212924.12364378574   ||  
GenNb-2   ||  MinChi2: 4932.568909696153   ||  MeanChi2: 126486.22992249801   ||  StdChi2: 136350.3352280678   ||  
GenNb-3   ||  MinChi2: 4932.568909696153   ||  MeanChi2: 86299.31137518848   ||  StdChi2: 77521.20467295562   ||  
GenNb-4   ||  MinChi2: 4932.568909696153   ||  MeanChi2: 80456.74809346943   ||  StdChi2: 79095.07386252315   ||  
GenNb-5   ||  MinChi2: 2226.2523749031175   ||  MeanChi2: 72384.16512508562   ||  StdChi2: 79720.90282428398   ||  
GenNb-6   ||  MinChi2: 48.078902124961566   ||  MeanChi2: 30462.68744829134   ||  StdChi2: 27175.79733741368   ||  
GenNb-7   ||  MinChi2: 48.078902124961566   ||  MeanChi2: 16065.361108995647   ||  StdChi2: 21814.641271482782   ||  
GenNb-8   ||  MinChi2: 48.078902124961566   ||  MeanChi2: 10176.830781299257   ||  StdChi2: 14513.420997201196   ||  
GenNb-9   ||  MinChi2: 48.078902124961566   ||  MeanChi2: 8200.041821455412   ||  StdChi2: 14100.468443651318   ||  
GenNb-10   ||  MinChi2: 48.078902124961566   ||  MeanChi2: 7958.683089201404   ||  StdChi2: 14212.640540869425   ||  
GenNb-11   ||  MinChi2: 48.078902124961566   ||  MeanChi2: 3443.224029883697   ||  StdChi2: 6864.47689427363   ||  
GenNb-12   ||  MinChi2: 0.8869156981563023   ||  MeanChi2: 1132.199299467704   ||  StdChi2: 1040.672862637929   ||  
