GenNb-1   ||  MinChi2: 22961.073388034467   ||  MeanChi2: 255023.27204694945   ||  StdChi2: 199648.9189827458   ||  
GenNb-2   ||  MinChi2: 1829.5724953999986   ||  MeanChi2: 164201.97796233898   ||  StdChi2: 189025.2593776434   ||  
GenNb-4   ||  MinChi2: 1829.5724953999986   ||  MeanChi2: 159070.80056613364   ||  StdChi2: 192430.25817638365   ||  
GenNb-6   ||  MinChi2: 1829.5724953999986   ||  MeanChi2: 117029.97361565883   ||  StdChi2: 144960.31937532508   ||  
GenNb-7   ||  MinChi2: 1829.5724953999986   ||  MeanChi2: 89414.50755581555   ||  StdChi2: 104186.24368134524   ||  
GenNb-8   ||  MinChi2: 1829.5724953999986   ||  MeanChi2: 81874.13095724359   ||  StdChi2: 106416.78179083178   ||  
GenNb-9   ||  MinChi2: 243.12110930423876   ||  MeanChi2: 35345.29638171456   ||  StdChi2: 46821.54277031054   ||  
GenNb-10   ||  MinChi2: 243.12110930423876   ||  MeanChi2: 20146.206625884683   ||  StdChi2: 32769.800171731506   ||  
GenNb-11   ||  MinChi2: 243.12110930423876   ||  MeanChi2: 10199.125886085683   ||  StdChi2: 9473.640884182305   ||  
GenNb-12   ||  MinChi2: 243.12110930423876   ||  MeanChi2: 8611.578685356242   ||  StdChi2: 7263.007977059869   ||  
GenNb-13   ||  MinChi2: 152.23087760496128   ||  MeanChi2: 5757.254703979203   ||  StdChi2: 6409.977485404528   ||  
GenNb-14   ||  MinChi2: 152.23087760496128   ||  MeanChi2: 5555.462591787898   ||  StdChi2: 6553.47623368678   ||  
GenNb-15   ||  MinChi2: 15.023774039624472   ||  MeanChi2: 4156.429955493226   ||  StdChi2: 5578.145721222282   ||  
GenNb-16   ||  MinChi2: 15.023774039624472   ||  MeanChi2: 3182.8001381737904   ||  StdChi2: 5343.309991877693   ||  
GenNb-17   ||  MinChi2: 15.023774039624472   ||  MeanChi2: 3029.494700296675   ||  StdChi2: 5407.3288629161825   ||  
GenNb-18   ||  MinChi2: 2.439620096111101   ||  MeanChi2: 1357.6553566965974   ||  StdChi2: 2041.1695638841827   ||  
