GenNb-1   ||  MinChi2: 1222.9948566409912   ||  MeanChi2: 213499.62115080896   ||  StdChi2: 224325.50591473136   ||  
GenNb-2   ||  MinChi2: 361.5974754632863   ||  MeanChi2: 157919.97874985897   ||  StdChi2: 206476.6759938147   ||  
GenNb-3   ||  MinChi2: 361.5974754632863   ||  MeanChi2: 136608.45531418835   ||  StdChi2: 213465.2232553969   ||  
GenNb-4   ||  MinChi2: 361.5974754632863   ||  MeanChi2: 133315.76767476136   ||  StdChi2: 213760.50748455833   ||  
GenNb-5   ||  MinChi2: 361.5974754632863   ||  MeanChi2: 71600.99678802224   ||  StdChi2: 147401.4483520204   ||  
GenNb-6   ||  MinChi2: 95.7311853737265   ||  MeanChi2: 22115.840671578615   ||  StdChi2: 28484.461522895803   ||  
GenNb-7   ||  MinChi2: 71.0253224866827   ||  MeanChi2: 18510.619779748104   ||  StdChi2: 28154.598653416637   ||  
