GenNb-1   ||  MinChi2: 20255.003699245564   ||  MeanChi2: 20255.003699245564   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 20253.75661884379   ||  MeanChi2: 20253.75661884379   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 20131.111998247023   ||  MeanChi2: 20131.111998247023   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 19766.969182103396   ||  MeanChi2: 19766.969182103396   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 19612.14984507658   ||  MeanChi2: 19612.14984507658   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 19557.08260086234   ||  MeanChi2: 19557.08260086234   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 19526.138156301153   ||  MeanChi2: 19526.138156301153   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 19518.0356334081   ||  MeanChi2: 19518.0356334081   ||  StdChi2: 0.0   ||  
