GenNb-1   ||  MinChi2: 20439.61067170265   ||  MeanChi2: 20439.61067170265   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 20438.354625994063   ||  MeanChi2: 20438.354625994063   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 20314.827947245198   ||  MeanChi2: 20314.827947245198   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 19948.06195324589   ||  MeanChi2: 19948.06195324589   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 19792.12537704921   ||  MeanChi2: 19792.12537704921   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 19736.66045828662   ||  MeanChi2: 19736.66045828662   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 19705.492478307977   ||  MeanChi2: 19705.492478307977   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 19697.33141676532   ||  MeanChi2: 19697.33141676532   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 19589.719194905134   ||  MeanChi2: 19589.719194905134   ||  StdChi2: 0.0   ||  
