GenNb-1   ||  MinChi2: 19387.5398479822   ||  MeanChi2: 19387.5398479822   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 19386.335044042517   ||  MeanChi2: 19386.335044042517   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 19267.849814037058   ||  MeanChi2: 19267.849814037058   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 18916.07661567459   ||  MeanChi2: 18916.07661567459   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 18766.52557791877   ||  MeanChi2: 18766.52557791877   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 18713.333545548543   ||  MeanChi2: 18713.333545548543   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 18683.44316786462   ||  MeanChi2: 18683.44316786462   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 18675.61667999944   ||  MeanChi2: 18675.61667999944   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 18572.417909148997   ||  MeanChi2: 18572.417909148997   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 18505.675274881494   ||  MeanChi2: 18505.675274881494   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 18116.847878620178   ||  MeanChi2: 18116.847878620178   ||  StdChi2: 0.0   ||  
