PointID,Higgs,mTop,ThetaHiggs,TopYukawa,HiggsTrilin
Point T1-893-01102019083933,110.2068401675738,188.78801974081478,0.1261425219229522,0.9834526833373309,20.327459608460472
Point T4-570-01102019083933,119.79915410593009,189.06996559539007,0.18848218703598693,0.9737725322763331,25.035256634759385
Point T2-4-01102019083933,126.68893859583886,182.881822918876,0.27626978357567356,0.9537376297337302,31.75815117886247
Point T0-544-01102019083933,131.00132399424595,185.46371651335585,0.17217209120786905,0.9766723748227469,34.14399528287378
Point T5-569-01102019083933,127.56504129323223,175.06348825357526,0.2417262241014772,0.9625075067360692,30.34873213421152
Point T3-684-01102019083933,119.70384826826907,193.67143939261658,0.2631899722013201,0.9571927756286462,24.62557842991607
Point T7-365-01102019083933,113.16304749779344,191.00956750677267,0.17969090127391554,0.9753678062751321,21.180238997379803
Point T6-162-01102019083933,120.37401001724982,195.3350439302811,0.26545076042539567,0.9566072586718345,24.644412090667885
Point T2-346-01102019083939,126.48106553229663,182.42985731910133,0.2752252059188305,0.9540195669822635,31.743151457922117
Point T1-738-01102019083939,123.1042103033135,189.04949706135716,0.16596354044091835,0.977707987689654,27.322152894115792
Point T4-173-01102019083939,126.98746428860514,183.36653713536316,0.2766384730991458,0.9536378699141556,31.819830779283773
Point T0-685-01102019083940,126.82078549038262,183.12585806210126,0.27663846913106566,0.9536378709885343,31.77806568665389
Point T3-329-01102019083940,127.68016170432004,175.2214693692703,0.24172623992167366,0.9625075029818825,30.376118816516662
Point T7-440-01102019083940,119.66452203377098,188.76844144534806,0.1881815869169885,0.9738283228134429,25.025161621984065
Point T6-924-01102019083941,111.2776280062912,166.19751899687606,0.06467108290133684,0.9892568942688154,24.702076469142742
Point T5-262-01102019083940,119.64481603021378,193.5307362441161,0.26299876091739804,0.9572420727031463,24.62319270809447
Point T1-802-01102019083945,126.5443663051668,182.54690494173383,0.27540180784351237,0.9539719742631307,31.752747097391392
Point T4-771-01102019083945,110.75285078931489,165.227433132987,0.06429359985009159,0.9892810074856696,24.619550635774097
Point T0-523-01102019083946,127.98006793937772,184.77860504578786,0.282600220196419,0.952006757692768,32.192248390158255
Point T2-741-01102019083945,113.1690499538381,191.0238241375491,0.17970431332509368,0.9753654298969131,21.18066047494704
Point T3-51-01102019083946,125.47056956313175,187.0803028675063,0.11526020783545644,0.98475163850064,28.511918557080254
Point T7-89-01102019083947,130.93087482138404,185.33526533338573,0.17205282091796745,0.9766926244110553,34.13295886471044
Point T6-154-01102019083947,132.72654384163332,188.6020515807764,0.17508613382727964,0.9761733158350742,34.421928799158664
Point T5-128-01102019083947,126.84181031803483,173.66392751089455,0.24154716689841824,0.9625499821917686,30.345217263454547
Point T1-186-01102019083951,116.31351087468879,186.35563824759964,0.09747594433240228,0.9866233551968138,23.339296594650044
Point T2-88-01102019083952,129.33538921222114,182.3964181104648,0.16932403825915956,0.9771521184898264,33.88883916792531
Point T4-213-01102019083951,112.36058507513921,189.66403813641622,0.1797191118439033,0.9753628076575602,21.028618963758664
Point T0-101-01102019083951,113.17556376971079,191.03968966125453,0.17971923895654865,0.9753627851327741,21.181130371065404
Point T7-868-01102019083953,120.91899049439958,188.79711825772497,0.1497681963151364,0.9802319693400352,26.21409713896351
Point T3-165-01102019083952,114.82847184086832,193.82982457203403,0.17971907866607487,0.9753628135367799,21.490495124117317
Point T6-995-01102019083953,116.78709858475612,187.3015597738344,0.0979707222033371,0.9865754993529672,23.396528925404176
Point T5-483-01102019083954,119.68520490761918,193.62549692494585,0.263127537789492,0.957208875984125,24.625393573383203
Point T1-27-01102019083958,129.31936220059382,182.36725612464792,0.16929696086442705,0.9771566415437805,33.88628553323595
Point T2-309-01102019083958,110.3177801992756,164.42324104962,0.06398066996027853,0.9893008902477038,24.550865146906677
Point T0-268-01102019083958,129.7579186845325,175.86843261632802,0.21032210700798834,0.9694840036880794,35.60959872627341
Point T7-699-01102019083959,124.0760281537323,183.80301643754478,0.3281307399272157,0.9384382428225316,29.977648076061147
Point T4-145-01102019083958,126.87292509487486,173.71357014607753,0.2416162521022499,0.9625335976467009,30.351122698342
Point T3-407-01102019083959,125.43981816158994,187.0212887244287,0.11522384784024917,0.9847557831796053,28.50779725201424
Point T6-838-01102019083959,131.2035785638271,194.62442287939123,0.39910799553539217,0.9134186591152417,32.57026619187325
Point T5-352-01102019084001,131.28861186394482,194.79906347807756,0.3994661973670778,0.9132806114444673,32.57886702505956
Point T1-214-01102019084004,123.15781034199397,189.16092262812876,0.16606135934979735,0.9776919631828179,27.327703501539425
Point T2-424-01102019084004,126.92280014418375,173.79248598593765,0.24172607544670222,0.9625075420123442,30.360504209466306
Point T7-325-01102019084004,114.511401175638,182.80670298137662,0.09562797422017895,0.9867999585308388,23.09082129110078
Point T0-950-01102019084004,120.55921008703515,188.09298450920173,0.14920959549252819,0.9803144419375575,26.177118172352355
Point T4-567-01102019084005,126.89512296780465,173.7489490960044,0.2416654872596606,0.9625219180206674,30.355330586565596
Point T3-974-01102019084005,111.90314157347656,189.5156019895865,0.18187683023364032,0.9749781826452973,20.835346093355206
Point T6-581-01102019084006,119.48970561336026,188.3882742610381,0.1878025848594576,0.9738985391145526,25.01009015217113
Point T5-723-01102019084007,122.33380621900672,187.57252430701607,0.16467061420064785,0.9779189133150645,27.241305274855485
Point T2-270-01102019084010,130.6617878935284,184.5147743600443,0.17034875341640612,0.97698042178017,34.1730719245183
Point T7-23-01102019084011,129.94318442006502,183.49999996939894,0.170348734526475,0.9769804249547387,33.98513260562934
