GenNb-1   ||  MinChi2: 222.0663655371824   ||  MeanChi2: 752.075692419191   ||  StdChi2: 199.4745224341174   ||  
GenNb-2   ||  MinChi2: 222.0663655371824   ||  MeanChi2: 682.8346082900102   ||  StdChi2: 223.3336876453683   ||  
GenNb-3   ||  MinChi2: 222.0663655371824   ||  MeanChi2: 595.3523002577888   ||  StdChi2: 223.6390030997437   ||  
GenNb-4   ||  MinChi2: 222.0663655371824   ||  MeanChi2: 520.8697867412911   ||  StdChi2: 204.54344405710071   ||  
GenNb-5   ||  MinChi2: 30.02298759923063   ||  MeanChi2: 477.4127316315704   ||  StdChi2: 226.82150685870587   ||  
GenNb-6   ||  MinChi2: 30.02298759923063   ||  MeanChi2: 466.25355742677584   ||  StdChi2: 225.1048777121066   ||  
GenNb-7   ||  MinChi2: 30.02298759923063   ||  MeanChi2: 438.19301480547693   ||  StdChi2: 199.1072335298341   ||  
GenNb-8   ||  MinChi2: 30.02298759923063   ||  MeanChi2: 419.85890557923847   ||  StdChi2: 205.83300091646024   ||  
GenNb-9   ||  MinChi2: 30.02298759923063   ||  MeanChi2: 299.11704574385504   ||  StdChi2: 183.05792836382525   ||  
GenNb-10   ||  MinChi2: 30.02298759923063   ||  MeanChi2: 203.53939047677994   ||  StdChi2: 155.0891589488383   ||  
GenNb-11   ||  MinChi2: 20.5349738829693   ||  MeanChi2: 132.89546369172018   ||  StdChi2: 94.0976236026013   ||  
GenNb-12   ||  MinChi2: 20.5349738829693   ||  MeanChi2: 120.87466152918721   ||  StdChi2: 88.43760199241937   ||  
GenNb-13   ||  MinChi2: 20.5349738829693   ||  MeanChi2: 88.33213571699852   ||  StdChi2: 76.07486903255825   ||  
GenNb-14   ||  MinChi2: 20.5349738829693   ||  MeanChi2: 84.20426427322664   ||  StdChi2: 71.61844119052068   ||  
GenNb-15   ||  MinChi2: 16.109618761532804   ||  MeanChi2: 47.05642559109678   ||  StdChi2: 36.01950267050966   ||  
GenNb-16   ||  MinChi2: 14.808971839974511   ||  MeanChi2: 39.369632752032665   ||  StdChi2: 33.225276007808816   ||  
GenNb-18   ||  MinChi2: 10.432475269255573   ||  MeanChi2: 24.88002462133244   ||  StdChi2: 10.63549922574023   ||  
GenNb-19   ||  MinChi2: 0.48580769532981016   ||  MeanChi2: 21.26396376933662   ||  StdChi2: 13.734667049092305   ||  
