GenNb-1   ||  MinChi2: 593.1822092130942   ||  MeanChi2: 751.1989476606557   ||  StdChi2: 94.01804938179322   ||  
GenNb-2   ||  MinChi2: 576.4196769445775   ||  MeanChi2: 707.6972803832399   ||  StdChi2: 86.88047105280151   ||  
GenNb-3   ||  MinChi2: 242.6200430898105   ||  MeanChi2: 630.2764082025944   ||  StdChi2: 164.8136327470146   ||  
GenNb-4   ||  MinChi2: 66.57284742502858   ||  MeanChi2: 579.4037993010616   ||  StdChi2: 212.035130900064   ||  
GenNb-5   ||  MinChi2: 66.57284742502858   ||  MeanChi2: 497.37406346840925   ||  StdChi2: 249.04561820465167   ||  
GenNb-6   ||  MinChi2: 66.57284742502858   ||  MeanChi2: 490.67500356331755   ||  StdChi2: 250.8181495077239   ||  
GenNb-7   ||  MinChi2: 31.71547875036461   ||  MeanChi2: 410.9401030702455   ||  StdChi2: 290.5508299646931   ||  
GenNb-8   ||  MinChi2: 31.71547875036461   ||  MeanChi2: 397.67053778549825   ||  StdChi2: 293.03740627016487   ||  
GenNb-9   ||  MinChi2: 31.71547875036461   ||  MeanChi2: 384.5605720290966   ||  StdChi2: 279.14875930550227   ||  
GenNb-10   ||  MinChi2: 31.71547875036461   ||  MeanChi2: 347.4530219894008   ||  StdChi2: 252.4175394065461   ||  
GenNb-11   ||  MinChi2: 31.71547875036461   ||  MeanChi2: 311.9213289995402   ||  StdChi2: 226.28066939007385   ||  
GenNb-12   ||  MinChi2: 31.71547875036461   ||  MeanChi2: 253.56043655323052   ||  StdChi2: 161.72950689542162   ||  
GenNb-13   ||  MinChi2: 31.71547875036461   ||  MeanChi2: 214.8798551857996   ||  StdChi2: 148.74095218781426   ||  
GenNb-14   ||  MinChi2: 30.455161902750007   ||  MeanChi2: 168.6611590988423   ||  StdChi2: 107.72263879607564   ||  
GenNb-15   ||  MinChi2: 25.91196069267185   ||  MeanChi2: 138.59169172372057   ||  StdChi2: 101.99618870761091   ||  
GenNb-16   ||  MinChi2: 25.91196069267185   ||  MeanChi2: 106.52049409745196   ||  StdChi2: 73.19846243865342   ||  
GenNb-17   ||  MinChi2: 20.46326159886277   ||  MeanChi2: 52.77369320296117   ||  StdChi2: 41.74840208983309   ||  
GenNb-18   ||  MinChi2: 16.289580905851924   ||  MeanChi2: 39.22891615671635   ||  StdChi2: 22.008220947074463   ||  
GenNb-19   ||  MinChi2: 15.415983015130967   ||  MeanChi2: 35.64159127297531   ||  StdChi2: 23.109904164227803   ||  
GenNb-20   ||  MinChi2: 7.161039785474876   ||  MeanChi2: 27.728980941425714   ||  StdChi2: 15.625100565696249   ||  
