GenNb-52   ||  MinChi2: 2978.3412647635373   ||  MeanChi2: 2978.3412647635373   ||  StdChi2: 0.0   ||  
GenNb-53   ||  MinChi2: 2876.7208437487843   ||  MeanChi2: 2876.7208437487843   ||  StdChi2: 0.0   ||  
GenNb-54   ||  MinChi2: 2872.0914524739474   ||  MeanChi2: 2872.0914524739474   ||  StdChi2: 0.0   ||  
GenNb-55   ||  MinChi2: 2657.6727899446546   ||  MeanChi2: 2657.6727899446546   ||  StdChi2: 0.0   ||  
GenNb-56   ||  MinChi2: 2531.328022607769   ||  MeanChi2: 2531.328022607769   ||  StdChi2: 0.0   ||  
GenNb-57   ||  MinChi2: 2338.9323806597545   ||  MeanChi2: 2338.9323806597545   ||  StdChi2: 0.0   ||  
GenNb-58   ||  MinChi2: 2317.8997507499566   ||  MeanChi2: 2317.8997507499566   ||  StdChi2: 0.0   ||  
GenNb-59   ||  MinChi2: 2224.6582883183596   ||  MeanChi2: 2224.6582883183596   ||  StdChi2: 0.0   ||  
GenNb-60   ||  MinChi2: 2184.809668086124   ||  MeanChi2: 2184.809668086124   ||  StdChi2: 0.0   ||  
GenNb-61   ||  MinChi2: 2055.273593705652   ||  MeanChi2: 2055.273593705652   ||  StdChi2: 0.0   ||  
GenNb-62   ||  MinChi2: 1924.4412762100624   ||  MeanChi2: 1924.4412762100624   ||  StdChi2: 0.0   ||  
GenNb-63   ||  MinChi2: 1882.164980633227   ||  MeanChi2: 1882.164980633227   ||  StdChi2: 0.0   ||  
GenNb-64   ||  MinChi2: 1773.6078015922612   ||  MeanChi2: 1773.6078015922612   ||  StdChi2: 0.0   ||  
GenNb-65   ||  MinChi2: 1735.7460477583718   ||  MeanChi2: 1735.7460477583718   ||  StdChi2: 0.0   ||  
GenNb-66   ||  MinChi2: 1670.5132939570387   ||  MeanChi2: 1670.5132939570387   ||  StdChi2: 0.0   ||  
GenNb-67   ||  MinChi2: 1572.2079352087183   ||  MeanChi2: 1572.2079352087183   ||  StdChi2: 0.0   ||  
GenNb-68   ||  MinChi2: 1505.9090758243995   ||  MeanChi2: 1505.9090758243995   ||  StdChi2: 0.0   ||  
GenNb-69   ||  MinChi2: 1468.3435597921186   ||  MeanChi2: 1468.3435597921186   ||  StdChi2: 0.0   ||  
GenNb-70   ||  MinChi2: 1464.7336286779455   ||  MeanChi2: 1464.7336286779455   ||  StdChi2: 0.0   ||  
GenNb-71   ||  MinChi2: 1454.31692486129   ||  MeanChi2: 1454.31692486129   ||  StdChi2: 0.0   ||  
GenNb-72   ||  MinChi2: 1418.7554765804773   ||  MeanChi2: 1418.7554765804773   ||  StdChi2: 0.0   ||  
GenNb-73   ||  MinChi2: 1417.1124407911727   ||  MeanChi2: 1417.1124407911727   ||  StdChi2: 0.0   ||  
GenNb-74   ||  MinChi2: 1317.5378688790531   ||  MeanChi2: 1317.5378688790531   ||  StdChi2: 0.0   ||  
GenNb-75   ||  MinChi2: 1253.691995361444   ||  MeanChi2: 1253.691995361444   ||  StdChi2: 0.0   ||  
GenNb-76   ||  MinChi2: 1160.8747425167842   ||  MeanChi2: 1160.8747425167842   ||  StdChi2: 0.0   ||  
GenNb-77   ||  MinChi2: 1094.5497736700606   ||  MeanChi2: 1094.5497736700606   ||  StdChi2: 0.0   ||  
GenNb-78   ||  MinChi2: 1037.341833220994   ||  MeanChi2: 1037.341833220994   ||  StdChi2: 0.0   ||  
GenNb-79   ||  MinChi2: 981.1390789020985   ||  MeanChi2: 981.1390789020985   ||  StdChi2: 0.0   ||  
GenNb-80   ||  MinChi2: 972.7744667249397   ||  MeanChi2: 972.7744667249397   ||  StdChi2: 0.0   ||  
GenNb-81   ||  MinChi2: 935.2964231932742   ||  MeanChi2: 935.2964231932742   ||  StdChi2: 0.0   ||  
GenNb-82   ||  MinChi2: 930.0297130616664   ||  MeanChi2: 930.0297130616664   ||  StdChi2: 0.0   ||  
GenNb-83   ||  MinChi2: 907.944399765245   ||  MeanChi2: 907.944399765245   ||  StdChi2: 0.0   ||  
GenNb-84   ||  MinChi2: 901.9884552447   ||  MeanChi2: 901.9884552447   ||  StdChi2: 0.0   ||  
GenNb-85   ||  MinChi2: 898.2070711008329   ||  MeanChi2: 898.2070711008329   ||  StdChi2: 0.0   ||  
