GenNb-1   ||  MinChi2: 24896.581434751814   ||  MeanChi2: 24896.581434751814   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 24170.352314309566   ||  MeanChi2: 24170.352314309566   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 24132.411775454268   ||  MeanChi2: 24132.411775454268   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 23749.02594802572   ||  MeanChi2: 23749.02594802572   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 22501.255068508217   ||  MeanChi2: 22501.255068508217   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 22032.036806142343   ||  MeanChi2: 22032.036806142343   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 21915.34553869324   ||  MeanChi2: 21915.34553869324   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 21912.515350534006   ||  MeanChi2: 21912.515350534006   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 21825.311260859165   ||  MeanChi2: 21825.311260859165   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 20882.152719289294   ||  MeanChi2: 20882.152719289294   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 20597.241256878497   ||  MeanChi2: 20597.241256878497   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 20428.373617610167   ||  MeanChi2: 20428.373617610167   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 20421.27166808518   ||  MeanChi2: 20421.27166808518   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 20356.27142350927   ||  MeanChi2: 20356.27142350927   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 20048.025786341736   ||  MeanChi2: 20048.025786341736   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 19803.113449446664   ||  MeanChi2: 19803.113449446664   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 19798.668301752106   ||  MeanChi2: 19798.668301752106   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 19055.046766509524   ||  MeanChi2: 19055.046766509524   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 19022.02068173905   ||  MeanChi2: 19022.02068173905   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 18990.40076867326   ||  MeanChi2: 18990.40076867326   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 18985.800417538198   ||  MeanChi2: 18985.800417538198   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 18509.97439315864   ||  MeanChi2: 18509.97439315864   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: 18416.33668622152   ||  MeanChi2: 18416.33668622152   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: 17818.712203821568   ||  MeanChi2: 17818.712203821568   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: 16396.134389881823   ||  MeanChi2: 16396.134389881823   ||  StdChi2: 0.0   ||  
GenNb-26   ||  MinChi2: 15682.68061580881   ||  MeanChi2: 15682.68061580881   ||  StdChi2: 0.0   ||  
GenNb-27   ||  MinChi2: 14738.504729276847   ||  MeanChi2: 14738.504729276847   ||  StdChi2: 0.0   ||  
GenNb-28   ||  MinChi2: 14584.798288195409   ||  MeanChi2: 14584.798288195409   ||  StdChi2: 0.0   ||  
GenNb-29   ||  MinChi2: 14451.183608990767   ||  MeanChi2: 14451.183608990767   ||  StdChi2: 0.0   ||  
GenNb-30   ||  MinChi2: 14279.517552109195   ||  MeanChi2: 14279.517552109195   ||  StdChi2: 0.0   ||  
GenNb-31   ||  MinChi2: 14146.054174566472   ||  MeanChi2: 14146.054174566472   ||  StdChi2: 0.0   ||  
GenNb-32   ||  MinChi2: 14132.938246537053   ||  MeanChi2: 14132.938246537053   ||  StdChi2: 0.0   ||  
GenNb-33   ||  MinChi2: 13900.128479528756   ||  MeanChi2: 13900.128479528756   ||  StdChi2: 0.0   ||  
GenNb-34   ||  MinChi2: 13661.597264586859   ||  MeanChi2: 13661.597264586859   ||  StdChi2: 0.0   ||  
GenNb-35   ||  MinChi2: 13527.220264484637   ||  MeanChi2: 13527.220264484637   ||  StdChi2: 0.0   ||  
GenNb-36   ||  MinChi2: 13236.478144791738   ||  MeanChi2: 13236.478144791738   ||  StdChi2: 0.0   ||  
GenNb-37   ||  MinChi2: 13024.22141045357   ||  MeanChi2: 13024.22141045357   ||  StdChi2: 0.0   ||  
GenNb-38   ||  MinChi2: 12975.638922246408   ||  MeanChi2: 12975.638922246408   ||  StdChi2: 0.0   ||  
GenNb-39   ||  MinChi2: 12974.638935951032   ||  MeanChi2: 12974.638935951032   ||  StdChi2: 0.0   ||  
GenNb-40   ||  MinChi2: 12811.407645315976   ||  MeanChi2: 12811.407645315976   ||  StdChi2: 0.0   ||  
GenNb-41   ||  MinChi2: 12607.702789472394   ||  MeanChi2: 12607.702789472394   ||  StdChi2: 0.0   ||  
GenNb-42   ||  MinChi2: 12265.987535982642   ||  MeanChi2: 12265.987535982642   ||  StdChi2: 0.0   ||  
GenNb-43   ||  MinChi2: 12130.561070084503   ||  MeanChi2: 12130.561070084503   ||  StdChi2: 0.0   ||  
