GenNb-1   ||  MinChi2: 19784.482785282464   ||  MeanChi2: 174276.76393160206   ||  StdChi2: 159360.869471702   ||  
GenNb-2   ||  MinChi2: 5668.516080461794   ||  MeanChi2: 124931.9084817859   ||  StdChi2: 122227.89525996264   ||  
GenNb-3   ||  MinChi2: 1596.595119357864   ||  MeanChi2: 79673.31413536415   ||  StdChi2: 99333.93680247624   ||  
GenNb-4   ||  MinChi2: 204.5541893050939   ||  MeanChi2: 69884.42492219708   ||  StdChi2: 103283.89828985314   ||  
GenNb-5   ||  MinChi2: 204.5541893050939   ||  MeanChi2: 39112.22080453226   ||  StdChi2: 40831.057716790136   ||  
GenNb-6   ||  MinChi2: 204.5541893050939   ||  MeanChi2: 29506.06957443849   ||  StdChi2: 35004.42477400485   ||  
GenNb-7   ||  MinChi2: 12.679852138412933   ||  MeanChi2: 18161.22473446678   ||  StdChi2: 23118.23646604326   ||  
GenNb-8   ||  MinChi2: 12.679852138412933   ||  MeanChi2: 8741.649297521597   ||  StdChi2: 13240.265398655218   ||  
GenNb-9   ||  MinChi2: 12.679852138412933   ||  MeanChi2: 2994.8386135862506   ||  StdChi2: 4889.913192130264   ||  
GenNb-10   ||  MinChi2: 12.679852138412933   ||  MeanChi2: 1029.4603889853163   ||  StdChi2: 964.540474080648   ||  
GenNb-11   ||  MinChi2: 12.679852138412933   ||  MeanChi2: 922.6573092508728   ||  StdChi2: 953.1805597622915   ||  
GenNb-12   ||  MinChi2: 7.190449522208637   ||  MeanChi2: 554.4606116553351   ||  StdChi2: 636.3633778941138   ||  
