GenNb-1   ||  MinChi2: 37811.08625942046   ||  MeanChi2: 37811.08625942046   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 37809.21312651304   ||  MeanChi2: 37809.21312651304   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 37499.25768884888   ||  MeanChi2: 37499.25768884888   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 37496.56276673261   ||  MeanChi2: 37496.56276673261   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 37121.86472678105   ||  MeanChi2: 37121.86472678105   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 36536.407242119894   ||  MeanChi2: 36536.407242119894   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 35844.31869417183   ||  MeanChi2: 35844.31869417183   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 35802.23907476179   ||  MeanChi2: 35802.23907476179   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 35284.67009873345   ||  MeanChi2: 35284.67009873345   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 34528.94049812308   ||  MeanChi2: 34528.94049812308   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 33600.62993884508   ||  MeanChi2: 33600.62993884508   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 33276.218971028466   ||  MeanChi2: 33276.218971028466   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 33192.17358861214   ||  MeanChi2: 33192.17358861214   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 32801.64592324846   ||  MeanChi2: 32801.64592324846   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 31620.823014990492   ||  MeanChi2: 31620.823014990492   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 31375.811915126338   ||  MeanChi2: 31375.811915126338   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 30510.47327882182   ||  MeanChi2: 30510.47327882182   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 30444.30949980921   ||  MeanChi2: 30444.30949980921   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 30370.365217139522   ||  MeanChi2: 30370.365217139522   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 30359.28646169882   ||  MeanChi2: 30359.28646169882   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 29498.191953892598   ||  MeanChi2: 29498.191953892598   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 29453.60115062449   ||  MeanChi2: 29453.60115062449   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: 28595.038570139124   ||  MeanChi2: 28595.038570139124   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: 27791.280192580984   ||  MeanChi2: 27791.280192580984   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: 27734.948431934623   ||  MeanChi2: 27734.948431934623   ||  StdChi2: 0.0   ||  
GenNb-26   ||  MinChi2: 27492.70134060876   ||  MeanChi2: 27492.70134060876   ||  StdChi2: 0.0   ||  
GenNb-27   ||  MinChi2: 27442.683841803064   ||  MeanChi2: 27442.683841803064   ||  StdChi2: 0.0   ||  
GenNb-28   ||  MinChi2: 27237.849960825894   ||  MeanChi2: 27237.849960825894   ||  StdChi2: 0.0   ||  
GenNb-29   ||  MinChi2: 26949.64557120705   ||  MeanChi2: 26949.64557120705   ||  StdChi2: 0.0   ||  
GenNb-30   ||  MinChi2: 26810.81404917832   ||  MeanChi2: 26810.81404917832   ||  StdChi2: 0.0   ||  
GenNb-31   ||  MinChi2: 26391.686811511263   ||  MeanChi2: 26391.686811511263   ||  StdChi2: 0.0   ||  
GenNb-32   ||  MinChi2: 26193.1790473512   ||  MeanChi2: 26193.1790473512   ||  StdChi2: 0.0   ||  
GenNb-33   ||  MinChi2: 26183.978906229626   ||  MeanChi2: 26183.978906229626   ||  StdChi2: 0.0   ||  
GenNb-34   ||  MinChi2: 25990.894362544812   ||  MeanChi2: 25990.894362544812   ||  StdChi2: 0.0   ||  
GenNb-35   ||  MinChi2: 25268.34822347476   ||  MeanChi2: 25268.34822347476   ||  StdChi2: 0.0   ||  
GenNb-36   ||  MinChi2: 25233.309424817766   ||  MeanChi2: 25233.309424817766   ||  StdChi2: 0.0   ||  
GenNb-37   ||  MinChi2: 25228.54935283409   ||  MeanChi2: 25228.54935283409   ||  StdChi2: 0.0   ||  
GenNb-38   ||  MinChi2: 24609.967519438967   ||  MeanChi2: 24609.967519438967   ||  StdChi2: 0.0   ||  
GenNb-39   ||  MinChi2: 24261.994127381626   ||  MeanChi2: 24261.994127381626   ||  StdChi2: 0.0   ||  
GenNb-40   ||  MinChi2: 23581.253316470455   ||  MeanChi2: 23581.253316470455   ||  StdChi2: 0.0   ||  
GenNb-41   ||  MinChi2: 22145.576450009557   ||  MeanChi2: 22145.576450009557   ||  StdChi2: 0.0   ||  
GenNb-42   ||  MinChi2: 21889.435037032   ||  MeanChi2: 21889.435037032   ||  StdChi2: 0.0   ||  
GenNb-43   ||  MinChi2: 21552.337745775385   ||  MeanChi2: 21552.337745775385   ||  StdChi2: 0.0   ||  
GenNb-44   ||  MinChi2: 21205.283483454365   ||  MeanChi2: 21205.283483454365   ||  StdChi2: 0.0   ||  
GenNb-45   ||  MinChi2: 21170.782776640077   ||  MeanChi2: 21170.782776640077   ||  StdChi2: 0.0   ||  
GenNb-46   ||  MinChi2: 20452.655895868673   ||  MeanChi2: 20452.655895868673   ||  StdChi2: 0.0   ||  
GenNb-47   ||  MinChi2: 20413.578336161263   ||  MeanChi2: 20413.578336161263   ||  StdChi2: 0.0   ||  
GenNb-48   ||  MinChi2: 20343.152125421733   ||  MeanChi2: 20343.152125421733   ||  StdChi2: 0.0   ||  
GenNb-49   ||  MinChi2: 20224.86362504176   ||  MeanChi2: 20224.86362504176   ||  StdChi2: 0.0   ||  
GenNb-50   ||  MinChi2: 19251.955808482144   ||  MeanChi2: 19251.955808482144   ||  StdChi2: 0.0   ||  
GenNb-51   ||  MinChi2: 18960.34713307794   ||  MeanChi2: 18960.34713307794   ||  StdChi2: 0.0   ||  
GenNb-52   ||  MinChi2: 18366.3850406984   ||  MeanChi2: 18366.3850406984   ||  StdChi2: 0.0   ||  
GenNb-53   ||  MinChi2: 18208.570988376625   ||  MeanChi2: 18208.570988376625   ||  StdChi2: 0.0   ||  
GenNb-54   ||  MinChi2: 18096.82767468118   ||  MeanChi2: 18096.82767468118   ||  StdChi2: 0.0   ||  
GenNb-55   ||  MinChi2: 17339.50344880627   ||  MeanChi2: 17339.50344880627   ||  StdChi2: 0.0   ||  
GenNb-56   ||  MinChi2: 16911.832333224585   ||  MeanChi2: 16911.832333224585   ||  StdChi2: 0.0   ||  
GenNb-57   ||  MinChi2: 16663.581985818284   ||  MeanChi2: 16663.581985818284   ||  StdChi2: 0.0   ||  
GenNb-58   ||  MinChi2: 16621.03046576803   ||  MeanChi2: 16621.03046576803   ||  StdChi2: 0.0   ||  
