GenNb-1   ||  MinChi2: 93381.89304188774   ||  MeanChi2: 93381.89304188774   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 93377.85209427915   ||  MeanChi2: 93377.85209427915   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 92709.00383880104   ||  MeanChi2: 92709.00383880104   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 92703.18697336779   ||  MeanChi2: 92703.18697336779   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 91894.15885994161   ||  MeanChi2: 91894.15885994161   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 90629.02457727092   ||  MeanChi2: 90629.02457727092   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 89131.7857269769   ||  MeanChi2: 89131.7857269769   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 89040.69238424391   ||  MeanChi2: 89040.69238424391   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 87919.69567791511   ||  MeanChi2: 87919.69567791511   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 86280.93705176117   ||  MeanChi2: 86280.93705176117   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 84264.70526920998   ||  MeanChi2: 84264.70526920998   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 83559.23763789363   ||  MeanChi2: 83559.23763789363   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 83376.39688397408   ||  MeanChi2: 83376.39688397408   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 82526.39540242647   ||  MeanChi2: 82526.39540242647   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 79952.0855993276   ||  MeanChi2: 79952.0855993276   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 79417.12513080344   ||  MeanChi2: 79417.12513080344   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 77525.41694874289   ||  MeanChi2: 77525.41694874289   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 77380.62554104831   ||  MeanChi2: 77380.62554104831   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 77218.7815703255   ||  MeanChi2: 77218.7815703255   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 77194.53082243906   ||  MeanChi2: 77194.53082243906   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 75307.73515604973   ||  MeanChi2: 75307.73515604973   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 75209.92527966422   ||  MeanChi2: 75209.92527966422   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: 73324.60576243392   ||  MeanChi2: 73324.60576243392   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: 71555.9681877993   ||  MeanChi2: 71555.9681877993   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: 71431.87555569725   ||  MeanChi2: 71431.87555569725   ||  StdChi2: 0.0   ||  
GenNb-26   ||  MinChi2: 70898.02361267552   ||  MeanChi2: 70898.02361267552   ||  StdChi2: 0.0   ||  
GenNb-27   ||  MinChi2: 70787.75517726256   ||  MeanChi2: 70787.75517726256   ||  StdChi2: 0.0   ||  
GenNb-28   ||  MinChi2: 70336.02623688434   ||  MeanChi2: 70336.02623688434   ||  StdChi2: 0.0   ||  
GenNb-29   ||  MinChi2: 69700.01678641993   ||  MeanChi2: 69700.01678641993   ||  StdChi2: 0.0   ||  
GenNb-30   ||  MinChi2: 69393.46611351108   ||  MeanChi2: 69393.46611351108   ||  StdChi2: 0.0   ||  
GenNb-31   ||  MinChi2: 68467.29059869201   ||  MeanChi2: 68467.29059869201   ||  StdChi2: 0.0   ||  
GenNb-32   ||  MinChi2: 68028.25599502528   ||  MeanChi2: 68028.25599502528   ||  StdChi2: 0.0   ||  
GenNb-33   ||  MinChi2: 68007.90231746054   ||  MeanChi2: 68007.90231746054   ||  StdChi2: 0.0   ||  
GenNb-34   ||  MinChi2: 67580.61435908842   ||  MeanChi2: 67580.61435908842   ||  StdChi2: 0.0   ||  
GenNb-35   ||  MinChi2: 65979.53407156412   ||  MeanChi2: 65979.53407156412   ||  StdChi2: 0.0   ||  
GenNb-36   ||  MinChi2: 65901.80557652196   ||  MeanChi2: 65901.80557652196   ||  StdChi2: 0.0   ||  
GenNb-37   ||  MinChi2: 65891.2454203586   ||  MeanChi2: 65891.2454203586   ||  StdChi2: 0.0   ||  
GenNb-38   ||  MinChi2: 64517.637708083595   ||  MeanChi2: 64517.637708083595   ||  StdChi2: 0.0   ||  
GenNb-39   ||  MinChi2: 63743.78707351895   ||  MeanChi2: 63743.78707351895   ||  StdChi2: 0.0   ||  
