GenNb-1   ||  MinChi2: 58692.54155207118   ||  MeanChi2: 58692.54155207118   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 58665.2580050039   ||  MeanChi2: 58665.2580050039   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 58623.27732138071   ||  MeanChi2: 58623.27732138071   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 57648.396812288134   ||  MeanChi2: 57648.396812288134   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 57493.826226006575   ||  MeanChi2: 57493.826226006575   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 57424.39596165896   ||  MeanChi2: 57424.39596165896   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 57042.01163362644   ||  MeanChi2: 57042.01163362644   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 57041.555912479475   ||  MeanChi2: 57041.555912479475   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 56934.65576742977   ||  MeanChi2: 56934.65576742977   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 56700.36654070943   ||  MeanChi2: 56700.36654070943   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 56555.00881946775   ||  MeanChi2: 56555.00881946775   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 56392.28290297384   ||  MeanChi2: 56392.28290297384   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 54834.34891635748   ||  MeanChi2: 54834.34891635748   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 54712.114519316114   ||  MeanChi2: 54712.114519316114   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 54681.830934000296   ||  MeanChi2: 54681.830934000296   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 54488.685245574015   ||  MeanChi2: 54488.685245574015   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 54349.02023438183   ||  MeanChi2: 54349.02023438183   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 54132.69128710416   ||  MeanChi2: 54132.69128710416   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 53311.17523034786   ||  MeanChi2: 53311.17523034786   ||  StdChi2: 0.0   ||  
