GenNb-1   ||  MinChi2: 48709.2205862172   ||  MeanChi2: 48709.2205862172   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 48685.9148271285   ||  MeanChi2: 48685.9148271285   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 48650.05500156226   ||  MeanChi2: 48650.05500156226   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 47817.42046412393   ||  MeanChi2: 47817.42046412393   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 47685.42243066155   ||  MeanChi2: 47685.42243066155   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 47626.13304985715   ||  MeanChi2: 47626.13304985715   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 47299.61829530508   ||  MeanChi2: 47299.61829530508   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 47299.22917819712   ||  MeanChi2: 47299.22917819712   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 47207.95385912971   ||  MeanChi2: 47207.95385912971   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 47007.91793004423   ||  MeanChi2: 47007.91793004423   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 46883.817827465704   ||  MeanChi2: 46883.817827465704   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 46744.895163326924   ||  MeanChi2: 46744.895163326924   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 45415.160045198645   ||  MeanChi2: 45415.160045198645   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 45310.85389107536   ||  MeanChi2: 45310.85389107536   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 45285.01257627501   ||  MeanChi2: 45285.01257627501   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 45120.204367310274   ||  MeanChi2: 45120.204367310274   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 45001.035921808696   ||  MeanChi2: 45001.035921808696   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 44816.46358644557   ||  MeanChi2: 44816.46358644557   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 44115.647417721884   ||  MeanChi2: 44115.647417721884   ||  StdChi2: 0.0   ||  
