GenNb-1   ||  MinChi2: 58073.687550027134   ||  MeanChi2: 58073.687550027134   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 58046.648687505665   ||  MeanChi2: 58046.648687505665   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 58005.04451498359   ||  MeanChi2: 58005.04451498359   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 57038.91412283921   ||  MeanChi2: 57038.91412283921   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 56885.732094392704   ||  MeanChi2: 56885.732094392704   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 56816.92565245964   ||  MeanChi2: 56816.92565245964   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 56437.97820431937   ||  MeanChi2: 56437.97820431937   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 56437.52658042568   ||  MeanChi2: 56437.52658042568   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 56331.58762339691   ||  MeanChi2: 56331.58762339691   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 56099.40556127634   ||  MeanChi2: 56099.40556127634   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 55955.355557543844   ||  MeanChi2: 55955.355557543844   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 55794.09396875295   ||  MeanChi2: 55794.09396875295   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 54250.19879861389   ||  MeanChi2: 54250.19879861389   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 54129.06738661073   ||  MeanChi2: 54129.06738661073   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 54099.0571004349   ||  MeanChi2: 54099.0571004349   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 53907.654809812244   ||  MeanChi2: 53907.654809812244   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 53769.250811091246   ||  MeanChi2: 53769.250811091246   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 53554.87564388405   ||  MeanChi2: 53554.87564388405   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 52740.78563751115   ||  MeanChi2: 52740.78563751115   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 51458.835495784646   ||  MeanChi2: 51458.835495784646   ||  StdChi2: 0.0   ||  
