GenNb-1   ||  MinChi2: 59373.87181000071   ||  MeanChi2: 59373.87181000071   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 59346.319139041836   ||  MeanChi2: 59346.319139041836   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 59303.92433793007   ||  MeanChi2: 59303.92433793007   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 58319.41971587633   ||  MeanChi2: 58319.41971587633   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 58163.321872946944   ||  MeanChi2: 58163.321872946944   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 58093.20547408547   ||  MeanChi2: 58093.20547408547   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 57707.04096038621   ||  MeanChi2: 57707.04096038621   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 57706.580732711984   ||  MeanChi2: 57706.580732711984   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 57598.62338644526   ||  MeanChi2: 57598.62338644526   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 57362.0165082043   ||  MeanChi2: 57362.0165082043   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 57215.220438786295   ||  MeanChi2: 57215.220438786295   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 57050.88391854905   ||  MeanChi2: 57050.88391854905   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 55477.508668482245   ||  MeanChi2: 55477.508668482245   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 55354.06109533278   ||  MeanChi2: 55354.06109533278   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 55323.476907462544   ||  MeanChi2: 55323.476907462544   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 55128.41364936604   ||  MeanChi2: 55128.41364936604   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 54987.361644688404   ||  MeanChi2: 54987.361644688404   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 54768.88372358732   ||  MeanChi2: 54768.88372358732   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 53939.199689002104   ||  MeanChi2: 53939.199689002104   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 52632.64826494856   ||  MeanChi2: 52632.64826494856   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 50222.10518054279   ||  MeanChi2: 50222.10518054279   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 50156.15558981383   ||  MeanChi2: 50156.15558981383   ||  StdChi2: 0.0   ||  
