GenNb-1   ||  MinChi2: 427.2201712955255   ||  MeanChi2: 771.4037666442453   ||  StdChi2: 147.29869943397458   ||  
GenNb-2   ||  MinChi2: 255.13992422168914   ||  MeanChi2: 665.0332381016392   ||  StdChi2: 212.9517111392871   ||  
GenNb-3   ||  MinChi2: 255.13992422168914   ||  MeanChi2: 656.0957349583476   ||  StdChi2: 206.87296068980524   ||  
GenNb-4   ||  MinChi2: 121.17424951424715   ||  MeanChi2: 636.1956995447488   ||  StdChi2: 244.39764599550332   ||  
GenNb-5   ||  MinChi2: 121.17424951424715   ||  MeanChi2: 580.638724583781   ||  StdChi2: 282.8224770682225   ||  
GenNb-6   ||  MinChi2: 121.17424951424715   ||  MeanChi2: 569.8628039272911   ||  StdChi2: 276.03564212343736   ||  
GenNb-7   ||  MinChi2: 121.17424951424715   ||  MeanChi2: 529.2760338105293   ||  StdChi2: 256.61171287079856   ||  
GenNb-8   ||  MinChi2: 121.17424951424715   ||  MeanChi2: 525.5346133785467   ||  StdChi2: 253.43280375952887   ||  
GenNb-9   ||  MinChi2: 121.17424951424715   ||  MeanChi2: 497.7622340356352   ||  StdChi2: 255.43934722770246   ||  
GenNb-10   ||  MinChi2: 84.14334517046187   ||  MeanChi2: 390.915922246747   ||  StdChi2: 239.23604686950208   ||  
GenNb-11   ||  MinChi2: 84.14334517046187   ||  MeanChi2: 372.73007759931295   ||  StdChi2: 217.6371024930117   ||  
GenNb-12   ||  MinChi2: 78.83425333868993   ||  MeanChi2: 336.95455655959415   ||  StdChi2: 211.75840006720424   ||  
GenNb-13   ||  MinChi2: 38.82757488257031   ||  MeanChi2: 327.80598883033605   ||  StdChi2: 221.08510821244732   ||  
GenNb-14   ||  MinChi2: 38.82757488257031   ||  MeanChi2: 204.2194547242331   ||  StdChi2: 146.27110395718066   ||  
GenNb-15   ||  MinChi2: 36.64358657019503   ||  MeanChi2: 181.2753623708564   ||  StdChi2: 146.55648340698295   ||  
GenNb-16   ||  MinChi2: 28.50594785599809   ||  MeanChi2: 110.04157826630049   ||  StdChi2: 82.10451388564591   ||  
GenNb-17   ||  MinChi2: 28.50594785599809   ||  MeanChi2: 101.91002929366309   ||  StdChi2: 84.81988974353249   ||  
GenNb-18   ||  MinChi2: 28.50594785599809   ||  MeanChi2: 85.74838286118904   ||  StdChi2: 71.78150550004531   ||  
GenNb-19   ||  MinChi2: 28.50594785599809   ||  MeanChi2: 58.64172019457517   ||  StdChi2: 36.417636196508866   ||  
GenNb-20   ||  MinChi2: 28.50594785599809   ||  MeanChi2: 50.408076144563324   ||  StdChi2: 21.516943767817665   ||  
GenNb-21   ||  MinChi2: 0.9746570717355852   ||  MeanChi2: 36.66912198872386   ||  StdChi2: 21.118464860866723   ||  
