GenNb-1   ||  MinChi2: 364.1308589204261   ||  MeanChi2: 703.2693421779151   ||  StdChi2: 170.46717965182148   ||  
GenNb-2   ||  MinChi2: 364.1308589204261   ||  MeanChi2: 677.571437368502   ||  StdChi2: 186.12090915610023   ||  
GenNb-3   ||  MinChi2: 52.5940867978747   ||  MeanChi2: 619.6465782469368   ||  StdChi2: 256.60995167075816   ||  
GenNb-4   ||  MinChi2: 52.5940867978747   ||  MeanChi2: 588.2530427753144   ||  StdChi2: 251.02823650547046   ||  
GenNb-5   ||  MinChi2: 52.5940867978747   ||  MeanChi2: 469.14000242639867   ||  StdChi2: 225.48162913123826   ||  
GenNb-6   ||  MinChi2: 36.90923297823696   ||  MeanChi2: 440.4514368953599   ||  StdChi2: 221.76920289822147   ||  
GenNb-7   ||  MinChi2: 36.90923297823696   ||  MeanChi2: 394.28735576735676   ||  StdChi2: 177.27488607786705   ||  
GenNb-8   ||  MinChi2: 21.305789547047162   ||  MeanChi2: 345.26808603744   ||  StdChi2: 214.1193302507796   ||  
GenNb-9   ||  MinChi2: 21.305789547047162   ||  MeanChi2: 281.9172402453523   ||  StdChi2: 211.94363225622715   ||  
GenNb-10   ||  MinChi2: 21.305789547047162   ||  MeanChi2: 244.91757998097972   ||  StdChi2: 166.47160591048157   ||  
GenNb-11   ||  MinChi2: 21.305789547047162   ||  MeanChi2: 167.3685310506221   ||  StdChi2: 118.80047405783222   ||  
GenNb-12   ||  MinChi2: 21.305789547047162   ||  MeanChi2: 133.12192066346603   ||  StdChi2: 90.70236075909912   ||  
GenNb-13   ||  MinChi2: 21.305789547047162   ||  MeanChi2: 128.37611432815697   ||  StdChi2: 92.53635781124548   ||  
GenNb-14   ||  MinChi2: 19.195208267249722   ||  MeanChi2: 105.74348058624109   ||  StdChi2: 91.70362672391563   ||  
GenNb-15   ||  MinChi2: 19.195208267249722   ||  MeanChi2: 73.71838598747499   ||  StdChi2: 54.9653474233491   ||  
GenNb-16   ||  MinChi2: 19.195208267249722   ||  MeanChi2: 68.4699598428086   ||  StdChi2: 53.870397113451425   ||  
GenNb-17   ||  MinChi2: 19.195208267249722   ||  MeanChi2: 66.72189832338113   ||  StdChi2: 54.84011622421773   ||  
GenNb-18   ||  MinChi2: 19.195208267249722   ||  MeanChi2: 49.8327158413738   ||  StdChi2: 27.315784199353963   ||  
GenNb-19   ||  MinChi2: 14.536973670137874   ||  MeanChi2: 40.56955230682662   ||  StdChi2: 26.78513307887647   ||  
GenNb-20   ||  MinChi2: 14.536973670137874   ||  MeanChi2: 32.059861480780455   ||  StdChi2: 20.01766458783205   ||  
GenNb-22   ||  MinChi2: 7.137433282509172   ||  MeanChi2: 28.016924086445762   ||  StdChi2: 21.682310321120053   ||  
