GenNb-1   ||  MinChi2: 57630.464964286264   ||  MeanChi2: 57630.464964286264   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 57436.31394339325   ||  MeanChi2: 57436.31394339325   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 57370.537917213645   ||  MeanChi2: 57370.537917213645   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 56691.45956089954   ||  MeanChi2: 56691.45956089954   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 56553.52951896084   ||  MeanChi2: 56553.52951896084   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 56422.125212059145   ||  MeanChi2: 56422.125212059145   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 56149.72751099403   ||  MeanChi2: 56149.72751099403   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 55916.12630770642   ||  MeanChi2: 55916.12630770642   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 53345.00040953518   ||  MeanChi2: 53345.00040953518   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 51794.31157002236   ||  MeanChi2: 51794.31157002236   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 51653.77084800827   ||  MeanChi2: 51653.77084800827   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 50864.277703559696   ||  MeanChi2: 50864.277703559696   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 50605.67410506955   ||  MeanChi2: 50605.67410506955   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 49082.88846089646   ||  MeanChi2: 49082.88846089646   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 48958.35335310752   ||  MeanChi2: 48958.35335310752   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 48740.987204451085   ||  MeanChi2: 48740.987204451085   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 48642.57427422262   ||  MeanChi2: 48642.57427422262   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 48286.77250956755   ||  MeanChi2: 48286.77250956755   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 47043.23039251761   ||  MeanChi2: 47043.23039251761   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 46922.68234722084   ||  MeanChi2: 46922.68234722084   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 46858.503568360655   ||  MeanChi2: 46858.503568360655   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 46574.7014789969   ||  MeanChi2: 46574.7014789969   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: 44051.96856770732   ||  MeanChi2: 44051.96856770732   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: 43411.30491497052   ||  MeanChi2: 43411.30491497052   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: 43346.259300246435   ||  MeanChi2: 43346.259300246435   ||  StdChi2: 0.0   ||  
GenNb-26   ||  MinChi2: 42857.57050693676   ||  MeanChi2: 42857.57050693676   ||  StdChi2: 0.0   ||  
GenNb-27   ||  MinChi2: 42267.527212242574   ||  MeanChi2: 42267.527212242574   ||  StdChi2: 0.0   ||  
GenNb-28   ||  MinChi2: 42225.24679289323   ||  MeanChi2: 42225.24679289323   ||  StdChi2: 0.0   ||  
GenNb-29   ||  MinChi2: 40659.102405244754   ||  MeanChi2: 40659.102405244754   ||  StdChi2: 0.0   ||  
GenNb-30   ||  MinChi2: 38661.02857705236   ||  MeanChi2: 38661.02857705236   ||  StdChi2: 0.0   ||  
GenNb-31   ||  MinChi2: 38069.06403940804   ||  MeanChi2: 38069.06403940804   ||  StdChi2: 0.0   ||  
GenNb-32   ||  MinChi2: 37448.615437065906   ||  MeanChi2: 37448.615437065906   ||  StdChi2: 0.0   ||  
GenNb-33   ||  MinChi2: 36903.169654155085   ||  MeanChi2: 36903.169654155085   ||  StdChi2: 0.0   ||  
GenNb-34   ||  MinChi2: 36856.96160901958   ||  MeanChi2: 36856.96160901958   ||  StdChi2: 0.0   ||  
GenNb-35   ||  MinChi2: 36790.7434154308   ||  MeanChi2: 36790.7434154308   ||  StdChi2: 0.0   ||  
GenNb-36   ||  MinChi2: 36378.13473961721   ||  MeanChi2: 36378.13473961721   ||  StdChi2: 0.0   ||  
GenNb-37   ||  MinChi2: 36162.129564681076   ||  MeanChi2: 36162.129564681076   ||  StdChi2: 0.0   ||  
GenNb-38   ||  MinChi2: 35736.166246063476   ||  MeanChi2: 35736.166246063476   ||  StdChi2: 0.0   ||  
GenNb-39   ||  MinChi2: 34277.048508005035   ||  MeanChi2: 34277.048508005035   ||  StdChi2: 0.0   ||  
GenNb-40   ||  MinChi2: 33486.98176659731   ||  MeanChi2: 33486.98176659731   ||  StdChi2: 0.0   ||  
GenNb-41   ||  MinChi2: 32118.398194487847   ||  MeanChi2: 32118.398194487847   ||  StdChi2: 0.0   ||  
GenNb-42   ||  MinChi2: 31733.632961821924   ||  MeanChi2: 31733.632961821924   ||  StdChi2: 0.0   ||  
GenNb-43   ||  MinChi2: 31224.996381039142   ||  MeanChi2: 31224.996381039142   ||  StdChi2: 0.0   ||  
GenNb-44   ||  MinChi2: 29945.964500835922   ||  MeanChi2: 29945.964500835922   ||  StdChi2: 0.0   ||  
GenNb-45   ||  MinChi2: 28963.905391560325   ||  MeanChi2: 28963.905391560325   ||  StdChi2: 0.0   ||  
GenNb-46   ||  MinChi2: 28473.206307248034   ||  MeanChi2: 28473.206307248034   ||  StdChi2: 0.0   ||  
GenNb-47   ||  MinChi2: 27731.525358155282   ||  MeanChi2: 27731.525358155282   ||  StdChi2: 0.0   ||  
GenNb-48   ||  MinChi2: 27631.664183187102   ||  MeanChi2: 27631.664183187102   ||  StdChi2: 0.0   ||  
GenNb-49   ||  MinChi2: 27589.582532788612   ||  MeanChi2: 27589.582532788612   ||  StdChi2: 0.0   ||  
GenNb-50   ||  MinChi2: 27323.166171446195   ||  MeanChi2: 27323.166171446195   ||  StdChi2: 0.0   ||  
GenNb-51   ||  MinChi2: 27163.90541882996   ||  MeanChi2: 27163.90541882996   ||  StdChi2: 0.0   ||  
GenNb-52   ||  MinChi2: 27097.86872183232   ||  MeanChi2: 27097.86872183232   ||  StdChi2: 0.0   ||  
GenNb-53   ||  MinChi2: 26778.182207088572   ||  MeanChi2: 26778.182207088572   ||  StdChi2: 0.0   ||  
GenNb-54   ||  MinChi2: 26777.591287132243   ||  MeanChi2: 26777.591287132243   ||  StdChi2: 0.0   ||  
GenNb-55   ||  MinChi2: 26748.83629150085   ||  MeanChi2: 26748.83629150085   ||  StdChi2: 0.0   ||  
GenNb-56   ||  MinChi2: 26338.416345595288   ||  MeanChi2: 26338.416345595288   ||  StdChi2: 0.0   ||  
GenNb-57   ||  MinChi2: 24921.70026889143   ||  MeanChi2: 24921.70026889143   ||  StdChi2: 0.0   ||  
GenNb-58   ||  MinChi2: 24879.1739045101   ||  MeanChi2: 24879.1739045101   ||  StdChi2: 0.0   ||  
GenNb-59   ||  MinChi2: 24511.65870606345   ||  MeanChi2: 24511.65870606345   ||  StdChi2: 0.0   ||  
GenNb-60   ||  MinChi2: 24281.02938620176   ||  MeanChi2: 24281.02938620176   ||  StdChi2: 0.0   ||  
GenNb-61   ||  MinChi2: 23955.58614108245   ||  MeanChi2: 23955.58614108245   ||  StdChi2: 0.0   ||  
GenNb-62   ||  MinChi2: 22211.35685702583   ||  MeanChi2: 22211.35685702583   ||  StdChi2: 0.0   ||  
GenNb-63   ||  MinChi2: 22160.961736611458   ||  MeanChi2: 22160.961736611458   ||  StdChi2: 0.0   ||  
GenNb-64   ||  MinChi2: 22121.72139681337   ||  MeanChi2: 22121.72139681337   ||  StdChi2: 0.0   ||  
GenNb-65   ||  MinChi2: 21943.419614206163   ||  MeanChi2: 21943.419614206163   ||  StdChi2: 0.0   ||  
GenNb-66   ||  MinChi2: 21110.31039712392   ||  MeanChi2: 21110.31039712392   ||  StdChi2: 0.0   ||  
GenNb-67   ||  MinChi2: 21109.669972313415   ||  MeanChi2: 21109.669972313415   ||  StdChi2: 0.0   ||  
GenNb-68   ||  MinChi2: 20075.348884045703   ||  MeanChi2: 20075.348884045703   ||  StdChi2: 0.0   ||  
GenNb-69   ||  MinChi2: 19697.659863765955   ||  MeanChi2: 19697.659863765955   ||  StdChi2: 0.0   ||  
GenNb-70   ||  MinChi2: 19382.47854159754   ||  MeanChi2: 19382.47854159754   ||  StdChi2: 0.0   ||  
GenNb-71   ||  MinChi2: 19201.179881135165   ||  MeanChi2: 19201.179881135165   ||  StdChi2: 0.0   ||  
GenNb-72   ||  MinChi2: 18769.95808859783   ||  MeanChi2: 18769.95808859783   ||  StdChi2: 0.0   ||  
GenNb-73   ||  MinChi2: 18714.580154143856   ||  MeanChi2: 18714.580154143856   ||  StdChi2: 0.0   ||  
GenNb-74   ||  MinChi2: 18412.08206274597   ||  MeanChi2: 18412.08206274597   ||  StdChi2: 0.0   ||  
GenNb-75   ||  MinChi2: 18104.58191384719   ||  MeanChi2: 18104.58191384719   ||  StdChi2: 0.0   ||  
GenNb-76   ||  MinChi2: 18054.327748631993   ||  MeanChi2: 18054.327748631993   ||  StdChi2: 0.0   ||  
GenNb-77   ||  MinChi2: 17852.5566252747   ||  MeanChi2: 17852.5566252747   ||  StdChi2: 0.0   ||  
GenNb-78   ||  MinChi2: 17687.433078352115   ||  MeanChi2: 17687.433078352115   ||  StdChi2: 0.0   ||  
GenNb-79   ||  MinChi2: 17663.071030316223   ||  MeanChi2: 17663.071030316223   ||  StdChi2: 0.0   ||  
GenNb-80   ||  MinChi2: 17499.452366740148   ||  MeanChi2: 17499.452366740148   ||  StdChi2: 0.0   ||  
GenNb-81   ||  MinChi2: 17327.64664083798   ||  MeanChi2: 17327.64664083798   ||  StdChi2: 0.0   ||  
GenNb-82   ||  MinChi2: 16412.468716302526   ||  MeanChi2: 16412.468716302526   ||  StdChi2: 0.0   ||  
GenNb-83   ||  MinChi2: 15519.455332874117   ||  MeanChi2: 15519.455332874117   ||  StdChi2: 0.0   ||  
GenNb-84   ||  MinChi2: 15304.720954289936   ||  MeanChi2: 15304.720954289936   ||  StdChi2: 0.0   ||  
GenNb-85   ||  MinChi2: 14400.904544312873   ||  MeanChi2: 14400.904544312873   ||  StdChi2: 0.0   ||  
GenNb-86   ||  MinChi2: 14317.767940126652   ||  MeanChi2: 14317.767940126652   ||  StdChi2: 0.0   ||  
GenNb-87   ||  MinChi2: 13970.346564673682   ||  MeanChi2: 13970.346564673682   ||  StdChi2: 0.0   ||  
GenNb-88   ||  MinChi2: 13620.938540527655   ||  MeanChi2: 13620.938540527655   ||  StdChi2: 0.0   ||  
GenNb-89   ||  MinChi2: 13496.079583176972   ||  MeanChi2: 13496.079583176972   ||  StdChi2: 0.0   ||  
GenNb-90   ||  MinChi2: 13261.06954934747   ||  MeanChi2: 13261.06954934747   ||  StdChi2: 0.0   ||  
GenNb-91   ||  MinChi2: 13189.991892755095   ||  MeanChi2: 13189.991892755095   ||  StdChi2: 0.0   ||  
GenNb-92   ||  MinChi2: 12304.65163343099   ||  MeanChi2: 12304.65163343099   ||  StdChi2: 0.0   ||  
GenNb-93   ||  MinChi2: 11789.498157727558   ||  MeanChi2: 11789.498157727558   ||  StdChi2: 0.0   ||  
GenNb-94   ||  MinChi2: 11632.516675404317   ||  MeanChi2: 11632.516675404317   ||  StdChi2: 0.0   ||  
GenNb-95   ||  MinChi2: 10785.653340896994   ||  MeanChi2: 10785.653340896994   ||  StdChi2: 0.0   ||  
GenNb-96   ||  MinChi2: 10768.210958368762   ||  MeanChi2: 10768.210958368762   ||  StdChi2: 0.0   ||  
GenNb-97   ||  MinChi2: 10608.48568723444   ||  MeanChi2: 10608.48568723444   ||  StdChi2: 0.0   ||  
GenNb-98   ||  MinChi2: 10425.959294969362   ||  MeanChi2: 10425.959294969362   ||  StdChi2: 0.0   ||  
GenNb-99   ||  MinChi2: 10090.349661874872   ||  MeanChi2: 10090.349661874872   ||  StdChi2: 0.0   ||  
GenNb-100   ||  MinChi2: 9384.346299529865   ||  MeanChi2: 9384.346299529865   ||  StdChi2: 0.0   ||  
GenNb-101   ||  MinChi2: 9368.825333703258   ||  MeanChi2: 9368.825333703258   ||  StdChi2: 0.0   ||  
GenNb-102   ||  MinChi2: 9225.568023768032   ||  MeanChi2: 9225.568023768032   ||  StdChi2: 0.0   ||  
GenNb-103   ||  MinChi2: 9060.347343986594   ||  MeanChi2: 9060.347343986594   ||  StdChi2: 0.0   ||  
GenNb-104   ||  MinChi2: 8989.995736112007   ||  MeanChi2: 8989.995736112007   ||  StdChi2: 0.0   ||  
GenNb-105   ||  MinChi2: 8898.218085926324   ||  MeanChi2: 8898.218085926324   ||  StdChi2: 0.0   ||  
GenNb-106   ||  MinChi2: 8717.613260931996   ||  MeanChi2: 8717.613260931996   ||  StdChi2: 0.0   ||  
GenNb-107   ||  MinChi2: 8514.578055607351   ||  MeanChi2: 8514.578055607351   ||  StdChi2: 0.0   ||  
GenNb-108   ||  MinChi2: 8075.587618980413   ||  MeanChi2: 8075.587618980413   ||  StdChi2: 0.0   ||  
GenNb-109   ||  MinChi2: 8043.47967717575   ||  MeanChi2: 8043.47967717575   ||  StdChi2: 0.0   ||  
GenNb-110   ||  MinChi2: 8042.287909104958   ||  MeanChi2: 8042.287909104958   ||  StdChi2: 0.0   ||  
GenNb-111   ||  MinChi2: 7978.151621834961   ||  MeanChi2: 7978.151621834961   ||  StdChi2: 0.0   ||  
GenNb-112   ||  MinChi2: 7545.764262329544   ||  MeanChi2: 7545.764262329544   ||  StdChi2: 0.0   ||  
GenNb-113   ||  MinChi2: 6872.355607937681   ||  MeanChi2: 6872.355607937681   ||  StdChi2: 0.0   ||  
GenNb-114   ||  MinChi2: 6697.004760172223   ||  MeanChi2: 6697.004760172223   ||  StdChi2: 0.0   ||  
