GenNb-1   ||  MinChi2: 104429.36126386661   ||  MeanChi2: 104429.36126386661   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 104270.84170790648   ||  MeanChi2: 104270.84170790648   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 101645.24975105315   ||  MeanChi2: 101645.24975105315   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 100361.37238469695   ||  MeanChi2: 100361.37238469695   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 100143.67107873142   ||  MeanChi2: 100143.67107873142   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 99606.44924999397   ||  MeanChi2: 99606.44924999397   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 99424.72116070217   ||  MeanChi2: 99424.72116070217   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 97552.71319320427   ||  MeanChi2: 97552.71319320427   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 97174.43095721868   ||  MeanChi2: 97174.43095721868   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 96814.52073320567   ||  MeanChi2: 96814.52073320567   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 95536.42362994447   ||  MeanChi2: 95536.42362994447   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 94448.25791348759   ||  MeanChi2: 94448.25791348759   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 82771.87959836796   ||  MeanChi2: 82771.87959836796   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 76189.12979996984   ||  MeanChi2: 76189.12979996984   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 75612.97796127567   ||  MeanChi2: 75612.97796127567   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 72408.5256396198   ||  MeanChi2: 72408.5256396198   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 71379.38221450406   ||  MeanChi2: 71379.38221450406   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 65436.96758940129   ||  MeanChi2: 65436.96758940129   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 64968.24277333419   ||  MeanChi2: 64968.24277333419   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 64154.112087815076   ||  MeanChi2: 64154.112087815076   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 63787.69359383044   ||  MeanChi2: 63787.69359383044   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 62470.3971403374   ||  MeanChi2: 62470.3971403374   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: 57959.11471822604   ||  MeanChi2: 57959.11471822604   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: 57535.16889059317   ||  MeanChi2: 57535.16889059317   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: 57404.22278644268   ||  MeanChi2: 57404.22278644268   ||  StdChi2: 0.0   ||  
GenNb-26   ||  MinChi2: 56826.08025579809   ||  MeanChi2: 56826.08025579809   ||  StdChi2: 0.0   ||  
GenNb-27   ||  MinChi2: 51747.21518300789   ||  MeanChi2: 51747.21518300789   ||  StdChi2: 0.0   ||  
GenNb-28   ||  MinChi2: 50490.25922826726   ||  MeanChi2: 50490.25922826726   ||  StdChi2: 0.0   ||  
GenNb-29   ||  MinChi2: 50363.44170540924   ||  MeanChi2: 50363.44170540924   ||  StdChi2: 0.0   ||  
GenNb-30   ||  MinChi2: 49413.07125303442   ||  MeanChi2: 49413.07125303442   ||  StdChi2: 0.0   ||  
GenNb-31   ||  MinChi2: 48273.61514004704   ||  MeanChi2: 48273.61514004704   ||  StdChi2: 0.0   ||  
GenNb-32   ||  MinChi2: 48192.444001328   ||  MeanChi2: 48192.444001328   ||  StdChi2: 0.0   ||  
GenNb-33   ||  MinChi2: 45206.2980800201   ||  MeanChi2: 45206.2980800201   ||  StdChi2: 0.0   ||  
GenNb-34   ||  MinChi2: 41488.51500776095   ||  MeanChi2: 41488.51500776095   ||  StdChi2: 0.0   ||  
GenNb-35   ||  MinChi2: 40412.93460173449   ||  MeanChi2: 40412.93460173449   ||  StdChi2: 0.0   ||  
GenNb-36   ||  MinChi2: 39295.97396778923   ||  MeanChi2: 39295.97396778923   ||  StdChi2: 0.0   ||  
GenNb-37   ||  MinChi2: 38323.19134824552   ||  MeanChi2: 38323.19134824552   ||  StdChi2: 0.0   ||  
GenNb-38   ||  MinChi2: 38241.29638905293   ||  MeanChi2: 38241.29638905293   ||  StdChi2: 0.0   ||  
GenNb-39   ||  MinChi2: 38124.034853957106   ||  MeanChi2: 38124.034853957106   ||  StdChi2: 0.0   ||  
GenNb-40   ||  MinChi2: 37395.36844834717   ||  MeanChi2: 37395.36844834717   ||  StdChi2: 0.0   ||  
GenNb-41   ||  MinChi2: 37016.07367183343   ||  MeanChi2: 37016.07367183343   ||  StdChi2: 0.0   ||  
GenNb-42   ||  MinChi2: 36271.504067980175   ||  MeanChi2: 36271.504067980175   ||  StdChi2: 0.0   ||  
GenNb-43   ||  MinChi2: 33752.32655562202   ||  MeanChi2: 33752.32655562202   ||  StdChi2: 0.0   ||  
GenNb-44   ||  MinChi2: 32417.485551976228   ||  MeanChi2: 32417.485551976228   ||  StdChi2: 0.0   ||  
GenNb-45   ||  MinChi2: 30144.907267483042   ||  MeanChi2: 30144.907267483042   ||  StdChi2: 0.0   ||  
GenNb-46   ||  MinChi2: 29518.465600036398   ||  MeanChi2: 29518.465600036398   ||  StdChi2: 0.0   ||  
GenNb-47   ||  MinChi2: 28696.94102371885   ||  MeanChi2: 28696.94102371885   ||  StdChi2: 0.0   ||  
GenNb-48   ||  MinChi2: 26660.93071307659   ||  MeanChi2: 26660.93071307659   ||  StdChi2: 0.0   ||  
GenNb-49   ||  MinChi2: 25134.605165864923   ||  MeanChi2: 25134.605165864923   ||  StdChi2: 0.0   ||  
