GenNb-1   ||  MinChi2: 177779.31417213683   ||  MeanChi2: 177779.31417213683   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 177524.75916136178   ||  MeanChi2: 177524.75916136178   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 173306.89491634056   ||  MeanChi2: 173306.89491634056   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 171243.2861299095   ||  MeanChi2: 171243.2861299095   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 170893.29399240727   ||  MeanChi2: 170893.29399240727   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 170029.52353357823   ||  MeanChi2: 170029.52353357823   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 169737.3020471146   ||  MeanChi2: 169737.3020471146   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 166726.17474738468   ||  MeanChi2: 166726.17474738468   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 166117.50317068858   ||  MeanChi2: 166117.50317068858   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 165538.32835608497   ||  MeanChi2: 165538.32835608497   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 163481.07461504702   ||  MeanChi2: 163481.07461504702   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 161728.897431716   ||  MeanChi2: 161728.897431716   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 142887.3591781818   ||  MeanChi2: 142887.3591781818   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 132228.95976229166   ||  MeanChi2: 132228.95976229166   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 131294.69902232086   ||  MeanChi2: 131294.69902232086   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 126094.14406153289   ||  MeanChi2: 126094.14406153289   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 124422.30928746425   ||  MeanChi2: 124422.30928746425   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 114752.3343025959   ||  MeanChi2: 114752.3343025959   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 113988.31841234924   ||  MeanChi2: 113988.31841234924   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 112660.82954206195   ||  MeanChi2: 112660.82954206195   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 112063.16694740526   ||  MeanChi2: 112063.16694740526   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 109913.51301252206   ||  MeanChi2: 109913.51301252206   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: 102538.96554558632   ||  MeanChi2: 102538.96554558632   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: 101844.8789609856   ||  MeanChi2: 101844.8789609856   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: 101630.45457664064   ||  MeanChi2: 101630.45457664064   ||  StdChi2: 0.0   ||  
