GenNb-1   ||  MinChi2: 37797.15594624042   ||  MeanChi2: 37797.15594624042   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 37660.81074392835   ||  MeanChi2: 37660.81074392835   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 37614.6223362336   ||  MeanChi2: 37614.6223362336   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 37137.879015824015   ||  MeanChi2: 37137.879015824015   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 37041.070773945474   ||  MeanChi2: 37041.070773945474   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 36948.850571347095   ||  MeanChi2: 36948.850571347095   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 36757.70502842243   ||  MeanChi2: 36757.70502842243   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 36593.8100806366   ||  MeanChi2: 36593.8100806366   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 34791.567579270326   ||  MeanChi2: 34791.567579270326   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 33706.13981894062   ||  MeanChi2: 33706.13981894062   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 33607.82563837397   ||  MeanChi2: 33607.82563837397   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 33055.72968569778   ||  MeanChi2: 33055.72968569778   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 32874.95724768638   ||  MeanChi2: 32874.95724768638   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 31811.200314765025   ||  MeanChi2: 31811.200314765025   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 31724.260619961136   ||  MeanChi2: 31724.260619961136   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 31572.534781456772   ||  MeanChi2: 31572.534781456772   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 31503.849235392576   ||  MeanChi2: 31503.849235392576   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 31255.568842358494   ||  MeanChi2: 31255.568842358494   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 30388.383236725764   ||  MeanChi2: 30388.383236725764   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 30304.366457265354   ||  MeanChi2: 30304.366457265354   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 30278.332742004874   ||  MeanChi2: 30278.332742004874   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 30163.108215616776   ||  MeanChi2: 30163.108215616776   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: 29132.095909318137   ||  MeanChi2: 29132.095909318137   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: 28866.43353451873   ||  MeanChi2: 28866.43353451873   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: 28839.364863530824   ||  MeanChi2: 28839.364863530824   ||  StdChi2: 0.0   ||  
GenNb-26   ||  MinChi2: 28635.710527291398   ||  MeanChi2: 28635.710527291398   ||  StdChi2: 0.0   ||  
GenNb-27   ||  MinChi2: 28388.846125903354   ||  MeanChi2: 28388.846125903354   ||  StdChi2: 0.0   ||  
GenNb-28   ||  MinChi2: 28371.097696325258   ||  MeanChi2: 28371.097696325258   ||  StdChi2: 0.0   ||  
GenNb-29   ||  MinChi2: 27711.179576865088   ||  MeanChi2: 27711.179576865088   ||  StdChi2: 0.0   ||  
GenNb-30   ||  MinChi2: 26857.755690628397   ||  MeanChi2: 26857.755690628397   ||  StdChi2: 0.0   ||  
GenNb-31   ||  MinChi2: 26601.543515432983   ||  MeanChi2: 26601.543515432983   ||  StdChi2: 0.0   ||  
GenNb-32   ||  MinChi2: 26331.62160379497   ||  MeanChi2: 26331.62160379497   ||  StdChi2: 0.0   ||  
GenNb-33   ||  MinChi2: 26093.09309575308   ||  MeanChi2: 26093.09309575308   ||  StdChi2: 0.0   ||  
GenNb-34   ||  MinChi2: 26072.81477489187   ||  MeanChi2: 26072.81477489187   ||  StdChi2: 0.0   ||  
GenNb-35   ||  MinChi2: 26043.741677496153   ||  MeanChi2: 26043.741677496153   ||  StdChi2: 0.0   ||  
GenNb-36   ||  MinChi2: 25862.31676038974   ||  MeanChi2: 25862.31676038974   ||  StdChi2: 0.0   ||  
GenNb-37   ||  MinChi2: 25767.037255891402   ||  MeanChi2: 25767.037255891402   ||  StdChi2: 0.0   ||  
