GenNb-1   ||  MinChi2: 134851.3625762444   ||  MeanChi2: 134851.3625762444   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 134652.62858247134   ||  MeanChi2: 134652.62858247134   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 131360.3079329517   ||  MeanChi2: 131360.3079329517   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 129749.95530945428   ||  MeanChi2: 129749.95530945428   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 129476.86486755562   ||  MeanChi2: 129476.86486755562   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 128802.92134321434   ||  MeanChi2: 128802.92134321434   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 128574.9316322966   ||  MeanChi2: 128574.9316322966   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 126226.01065933437   ||  MeanChi2: 126226.01065933437   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 125751.27532668425   ||  MeanChi2: 125751.27532668425   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 125299.57054508483   ||  MeanChi2: 125299.57054508483   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 123695.29053980231   ||  MeanChi2: 123695.29053980231   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 122329.15706674723   ||  MeanChi2: 122329.15706674723   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 107654.0100027017   ||  MeanChi2: 107654.0100027017   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 99366.14628862284   ||  MeanChi2: 99366.14628862284   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 98640.19780454368   ||  MeanChi2: 98640.19780454368   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 94600.85257801345   ||  MeanChi2: 94600.85257801345   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 93302.92394549398   ||  MeanChi2: 93302.92394549398   ||  StdChi2: 0.0   ||  
