GenNb-1   ||  MinChi2: 140571.9961609507   ||  MeanChi2: 140571.9961609507   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 140365.76900960878   ||  MeanChi2: 140365.76900960878   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 136949.21170320225   ||  MeanChi2: 136949.21170320225   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 135278.02089560064   ||  MeanChi2: 135278.02089560064   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 134994.608533906   ||  MeanChi2: 134994.608533906   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 134295.18624536443   ||  MeanChi2: 134295.18624536443   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 134058.57535688885   ||  MeanChi2: 134058.57535688885   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 131620.7754532627   ||  MeanChi2: 131620.7754532627   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 131128.06419575794   ||  MeanChi2: 131128.06419575794   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 130659.25149774052   ||  MeanChi2: 130659.25149774052   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 128994.17859476704   ||  MeanChi2: 128994.17859476704   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 127576.23640350119   ||  MeanChi2: 127576.23640350119   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 112342.0420857665   ||  MeanChi2: 112342.0420857665   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 103736.18933012946   ||  MeanChi2: 103736.18933012946   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 102982.30079094207   ||  MeanChi2: 102982.30079094207   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 98787.21805284843   ||  MeanChi2: 98787.21805284843   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 97439.14636803546   ||  MeanChi2: 97439.14636803546   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 89647.25858856794   ||  MeanChi2: 89647.25858856794   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 89032.0434346693   ||  MeanChi2: 89032.0434346693   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 87963.2499188032   ||  MeanChi2: 87963.2499188032   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 87482.12094720217   ||  MeanChi2: 87482.12094720217   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 85751.94438586969   ||  MeanChi2: 85751.94438586969   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: 79820.59383767973   ||  MeanChi2: 79820.59383767973   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: 79262.68682358177   ||  MeanChi2: 79262.68682358177   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: 79090.34499360863   ||  MeanChi2: 79090.34499360863   ||  StdChi2: 0.0   ||  
GenNb-26   ||  MinChi2: 78329.32993612223   ||  MeanChi2: 78329.32993612223   ||  StdChi2: 0.0   ||  
GenNb-27   ||  MinChi2: 71636.17481533588   ||  MeanChi2: 71636.17481533588   ||  StdChi2: 0.0   ||  
GenNb-28   ||  MinChi2: 69977.39947368317   ||  MeanChi2: 69977.39947368317   ||  StdChi2: 0.0   ||  
GenNb-29   ||  MinChi2: 69809.98742354024   ||  MeanChi2: 69809.98742354024   ||  StdChi2: 0.0   ||  
GenNb-30   ||  MinChi2: 68555.07961758217   ||  MeanChi2: 68555.07961758217   ||  StdChi2: 0.0   ||  
GenNb-31   ||  MinChi2: 67049.72949113869   ||  MeanChi2: 67049.72949113869   ||  StdChi2: 0.0   ||  
GenNb-32   ||  MinChi2: 66942.46067580054   ||  MeanChi2: 66942.46067580054   ||  StdChi2: 0.0   ||  
GenNb-33   ||  MinChi2: 62993.07815615552   ||  MeanChi2: 62993.07815615552   ||  StdChi2: 0.0   ||  
GenNb-34   ||  MinChi2: 58066.82228579174   ||  MeanChi2: 58066.82228579174   ||  StdChi2: 0.0   ||  
GenNb-35   ||  MinChi2: 56639.53578388438   ||  MeanChi2: 56639.53578388438   ||  StdChi2: 0.0   ||  
GenNb-36   ||  MinChi2: 55156.27446353217   ||  MeanChi2: 55156.27446353217   ||  StdChi2: 0.0   ||  
GenNb-37   ||  MinChi2: 53863.554876930575   ||  MeanChi2: 53863.554876930575   ||  StdChi2: 0.0   ||  
GenNb-38   ||  MinChi2: 53754.68548485263   ||  MeanChi2: 53754.68548485263   ||  StdChi2: 0.0   ||  
GenNb-39   ||  MinChi2: 53598.78951431833   ||  MeanChi2: 53598.78951431833   ||  StdChi2: 0.0   ||  
GenNb-40   ||  MinChi2: 52629.75334193528   ||  MeanChi2: 52629.75334193528   ||  StdChi2: 0.0   ||  
GenNb-41   ||  MinChi2: 52125.13426227498   ||  MeanChi2: 52125.13426227498   ||  StdChi2: 0.0   ||  
GenNb-42   ||  MinChi2: 51134.132088413   ||  MeanChi2: 51134.132088413   ||  StdChi2: 0.0   ||  
GenNb-43   ||  MinChi2: 47776.87009731325   ||  MeanChi2: 47776.87009731325   ||  StdChi2: 0.0   ||  
GenNb-44   ||  MinChi2: 45995.07438732869   ||  MeanChi2: 45995.07438732869   ||  StdChi2: 0.0   ||  
GenNb-45   ||  MinChi2: 42956.522116959284   ||  MeanChi2: 42956.522116959284   ||  StdChi2: 0.0   ||  
GenNb-46   ||  MinChi2: 42117.74625658037   ||  MeanChi2: 42117.74625658037   ||  StdChi2: 0.0   ||  
GenNb-47   ||  MinChi2: 41016.9337182027   ||  MeanChi2: 41016.9337182027   ||  StdChi2: 0.0   ||  
GenNb-48   ||  MinChi2: 38284.441117525486   ||  MeanChi2: 38284.441117525486   ||  StdChi2: 0.0   ||  
GenNb-49   ||  MinChi2: 36231.61925689036   ||  MeanChi2: 36231.61925689036   ||  StdChi2: 0.0   ||  
GenNb-50   ||  MinChi2: 35221.990077565206   ||  MeanChi2: 35221.990077565206   ||  StdChi2: 0.0   ||  
GenNb-51   ||  MinChi2: 33712.57251688568   ||  MeanChi2: 33712.57251688568   ||  StdChi2: 0.0   ||  
GenNb-52   ||  MinChi2: 33511.541159532324   ||  MeanChi2: 33511.541159532324   ||  StdChi2: 0.0   ||  
GenNb-53   ||  MinChi2: 33426.96536257198   ||  MeanChi2: 33426.96536257198   ||  StdChi2: 0.0   ||  
GenNb-54   ||  MinChi2: 32892.6898927593   ||  MeanChi2: 32892.6898927593   ||  StdChi2: 0.0   ||  
GenNb-55   ||  MinChi2: 32574.810155653344   ||  MeanChi2: 32574.810155653344   ||  StdChi2: 0.0   ||  
GenNb-56   ||  MinChi2: 32443.353235408285   ||  MeanChi2: 32443.353235408285   ||  StdChi2: 0.0   ||  
GenNb-57   ||  MinChi2: 31808.809289377583   ||  MeanChi2: 31808.809289377583   ||  StdChi2: 0.0   ||  
GenNb-58   ||  MinChi2: 31807.64176195029   ||  MeanChi2: 31807.64176195029   ||  StdChi2: 0.0   ||  
GenNb-59   ||  MinChi2: 31750.838842269237   ||  MeanChi2: 31750.838842269237   ||  StdChi2: 0.0   ||  
GenNb-60   ||  MinChi2: 30942.50561402897   ||  MeanChi2: 30942.50561402897   ||  StdChi2: 0.0   ||  
