GenNb-1   ||  MinChi2: 174126.8929078178   ||  MeanChi2: 414642.066597428   ||  StdChi2: 196308.5992522685   ||  
GenNb-2   ||  MinChi2: 168299.74592493847   ||  MeanChi2: 335014.14925119345   ||  StdChi2: 152368.3176275293   ||  
GenNb-3   ||  MinChi2: 168299.74592493847   ||  MeanChi2: 321901.48023142613   ||  StdChi2: 154778.16068989897   ||  
GenNb-4   ||  MinChi2: 168299.74592493847   ||  MeanChi2: 285327.3886730264   ||  StdChi2: 146104.1447750937   ||  
GenNb-5   ||  MinChi2: 64052.67630475386   ||  MeanChi2: 245381.0977419285   ||  StdChi2: 144028.17231423294   ||  
