GenNb-1   ||  MinChi2: 23900.276086215374   ||  MeanChi2: 139871.09608383357   ||  StdChi2: 68439.64014622642   ||  
GenNb-2   ||  MinChi2: 23900.276086215374   ||  MeanChi2: 133330.56381171322   ||  StdChi2: 70192.64759715651   ||  
GenNb-3   ||  MinChi2: 23900.276086215374   ||  MeanChi2: 125359.64585041674   ||  StdChi2: 74049.57209298579   ||  
GenNb-4   ||  MinChi2: 14280.161039911378   ||  MeanChi2: 94922.69260500795   ||  StdChi2: 50486.45754399461   ||  
GenNb-5   ||  MinChi2: 14280.161039911378   ||  MeanChi2: 86596.51840271468   ||  StdChi2: 54663.22693997481   ||  
