GenNb-82   ||  MinChi2: 3837.7356911386323   ||  MeanChi2: 337298.09318074735   ||  StdChi2: 384036.9247685909   ||  
GenNb-83   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 313223.064912986   ||  StdChi2: 374383.07137386344   ||  
GenNb-84   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 303032.42413086415   ||  StdChi2: 380599.2957192977   ||  
GenNb-86   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 302334.9904210485   ||  StdChi2: 379059.3348823898   ||  
GenNb-88   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 283931.1813074567   ||  StdChi2: 365341.05397191766   ||  
GenNb-90   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 283882.4043790869   ||  StdChi2: 365372.30408062384   ||  
GenNb-91   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 261076.14864726216   ||  StdChi2: 349960.79549236165   ||  
GenNb-94   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 258537.1074671063   ||  StdChi2: 350632.21878609754   ||  
GenNb-97   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 241375.2378342655   ||  StdChi2: 312274.1837719235   ||  
GenNb-103   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 233776.60977239622   ||  StdChi2: 314371.3769527229   ||  
GenNb-107   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 178249.89836028326   ||  StdChi2: 228122.97580267722   ||  
GenNb-110   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 173893.52472977512   ||  StdChi2: 228658.5527744261   ||  
GenNb-112   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 172535.4446371724   ||  StdChi2: 225437.46361200628   ||  
GenNb-114   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 164724.01457925964   ||  StdChi2: 228243.1430141285   ||  
GenNb-121   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 164669.67706556624   ||  StdChi2: 228280.82195781803   ||  
GenNb-122   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 164589.91233999375   ||  StdChi2: 228335.27749067734   ||  
GenNb-124   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 163683.86990988706   ||  StdChi2: 228813.20393065226   ||  
GenNb-131   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 157301.36768613785   ||  StdChi2: 214485.11390135196   ||  
GenNb-135   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 157272.90967443064   ||  StdChi2: 214505.1857629142   ||  
GenNb-136   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 156833.06056575105   ||  StdChi2: 214114.3070931223   ||  
GenNb-145   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 155754.6334126072   ||  StdChi2: 214831.25566471668   ||  
GenNb-146   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 147452.5160585199   ||  StdChi2: 218388.37334707493   ||  
GenNb-150   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 79353.68588858888   ||  StdChi2: 125976.95029371546   ||  
GenNb-153   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 52388.445861920874   ||  StdChi2: 99045.0690202976   ||  
GenNb-156   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 51490.36968087293   ||  StdChi2: 99202.65442298447   ||  
GenNb-163   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 51369.15345738955   ||  StdChi2: 99245.10812719454   ||  
GenNb-164   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 50743.075039108895   ||  StdChi2: 99485.25694823373   ||  
GenNb-167   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 50728.01945825128   ||  StdChi2: 99491.46136456662   ||  
GenNb-168   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 49839.59950776964   ||  StdChi2: 99711.51277587519   ||  
GenNb-171   ||  MinChi2: 1008.1468533195427   ||  MeanChi2: 49702.93574232016   ||  StdChi2: 99751.63976450944   ||  
