GenNb-1   ||  MinChi2: 319.1184724491631   ||  MeanChi2: 319.1184724491631   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 317.61878848523855   ||  MeanChi2: 317.61878848523855   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 315.96831258870014   ||  MeanChi2: 315.96831258870014   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 313.37870596917423   ||  MeanChi2: 313.37870596917423   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 313.0704778683018   ||  MeanChi2: 313.0704778683018   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 312.1138672825774   ||  MeanChi2: 312.1138672825774   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 311.98420402290566   ||  MeanChi2: 311.98420402290566   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 310.1252249803762   ||  MeanChi2: 310.1252249803762   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 306.5896663281806   ||  MeanChi2: 306.5896663281806   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 304.74457677276513   ||  MeanChi2: 304.74457677276513   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 299.46971926825216   ||  MeanChi2: 299.46971926825216   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 299.4342837376359   ||  MeanChi2: 299.4342837376359   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 297.7977787219569   ||  MeanChi2: 297.7977787219569   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 297.2159697564791   ||  MeanChi2: 297.2159697564791   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 297.0396104556039   ||  MeanChi2: 297.0396104556039   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 294.14914872186716   ||  MeanChi2: 294.14914872186716   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 291.0304333182615   ||  MeanChi2: 291.0304333182615   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 286.3733982611615   ||  MeanChi2: 286.3733982611615   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 284.90135314207663   ||  MeanChi2: 284.90135314207663   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 278.577054632566   ||  MeanChi2: 278.577054632566   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 277.20042198958987   ||  MeanChi2: 277.20042198958987   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 271.916260636209   ||  MeanChi2: 271.916260636209   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: 268.7449021364254   ||  MeanChi2: 268.7449021364254   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: 267.9275805058456   ||  MeanChi2: 267.9275805058456   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: 265.5004449336152   ||  MeanChi2: 265.5004449336152   ||  StdChi2: 0.0   ||  
