GenNb-1   ||  MinChi2: -359960.05900274235   ||  MeanChi2: -359960.05900274235   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: -359423.67750074767   ||  MeanChi2: -359423.67750074767   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: -359423.67750074767   ||  MeanChi2: -359423.67750074767   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: -359423.67750074767   ||  MeanChi2: -359423.67750074767   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: -354528.3183097307   ||  MeanChi2: -354528.3183097307   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: -352676.17644727544   ||  MeanChi2: -352676.17644727544   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: -350180.56581303896   ||  MeanChi2: -350180.56581303896   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: -347669.8068942334   ||  MeanChi2: -347669.8068942334   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: -345168.7536861729   ||  MeanChi2: -345168.7536861729   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: -345168.7536861729   ||  MeanChi2: -345168.7536861729   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: -345168.7536861729   ||  MeanChi2: -345168.7536861729   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: -340881.6351025851   ||  MeanChi2: -340881.6351025851   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: -340881.6351025851   ||  MeanChi2: -340881.6351025851   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: -340881.6351025851   ||  MeanChi2: -340881.6351025851   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: -339688.6557589585   ||  MeanChi2: -339688.6557589585   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: -339598.76215360075   ||  MeanChi2: -339598.76215360075   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: -330269.38905715785   ||  MeanChi2: -330269.38905715785   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: -329886.2879357717   ||  MeanChi2: -329886.2879357717   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: -328795.0181231278   ||  MeanChi2: -328795.0181231278   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: -328795.0181231278   ||  MeanChi2: -328795.0181231278   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: -326990.6666504758   ||  MeanChi2: -326990.6666504758   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: -326090.22701393743   ||  MeanChi2: -326090.22701393743   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: -316258.76648042334   ||  MeanChi2: -316258.76648042334   ||  StdChi2: 0.0   ||  
