GenNb-1   ||  MinChi2: -337538.78283749684   ||  MeanChi2: -337538.78283749684   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: -337034.0221010685   ||  MeanChi2: -337034.0221010685   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: -337034.0221010685   ||  MeanChi2: -337034.0221010685   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: -337034.0221010685   ||  MeanChi2: -337034.0221010685   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: -332427.3165190741   ||  MeanChi2: -332427.3165190741   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: -330684.41534213646   ||  MeanChi2: -330684.41534213646   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: -328336.023700228   ||  MeanChi2: -328336.023700228   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: -325973.40785930207   ||  MeanChi2: -325973.40785930207   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: -323619.9557744791   ||  MeanChi2: -323619.9557744791   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: -323619.9557744791   ||  MeanChi2: -323619.9557744791   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: -323619.9557744791   ||  MeanChi2: -323619.9557744791   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: -319585.9162848226   ||  MeanChi2: -319585.9162848226   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: -319585.9162848226   ||  MeanChi2: -319585.9162848226   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: -319585.9162848226   ||  MeanChi2: -319585.9162848226   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: -318463.3778551893   ||  MeanChi2: -318463.3778551893   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: -318378.7924190381   ||  MeanChi2: -318378.7924190381   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: -309600.53993569576   ||  MeanChi2: -309600.53993569576   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: -309240.0797322515   ||  MeanChi2: -309240.0797322515   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: -308213.30721486965   ||  MeanChi2: -308213.30721486965   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: -308213.30721486965   ||  MeanChi2: -308213.30721486965   ||  StdChi2: 0.0   ||  
