GenNb-1   ||  MinChi2: -346487.8297911619   ||  MeanChi2: -346487.8297911619   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: -345970.44105042936   ||  MeanChi2: -345970.44105042936   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: -345970.44105042936   ||  MeanChi2: -345970.44105042936   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: -345970.44105042936   ||  MeanChi2: -345970.44105042936   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: -341248.4595613908   ||  MeanChi2: -341248.4595613908   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: -339461.93242524524   ||  MeanChi2: -339461.93242524524   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: -337054.74803385313   ||  MeanChi2: -337054.74803385313   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: -334632.9705062573   ||  MeanChi2: -334632.9705062573   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: -332220.57326956437   ||  MeanChi2: -332220.57326956437   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: -332220.57326956437   ||  MeanChi2: -332220.57326956437   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: -332220.57326956437   ||  MeanChi2: -332220.57326956437   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: -328085.4657818103   ||  MeanChi2: -328085.4657818103   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: -328085.4657818103   ||  MeanChi2: -328085.4657818103   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: -328085.4657818103   ||  MeanChi2: -328085.4657818103   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: -326934.7965880426   ||  MeanChi2: -326934.7965880426   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: -326848.091321542   ||  MeanChi2: -326848.091321542   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: -317849.74822791043   ||  MeanChi2: -317849.74822791043   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: -317480.2463818845   ||  MeanChi2: -317480.2463818845   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: -316427.71690664877   ||  MeanChi2: -316427.71690664877   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: -316427.71690664877   ||  MeanChi2: -316427.71690664877   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: -314687.42875638994   ||  MeanChi2: -314687.42875638994   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: -313818.9630872442   ||  MeanChi2: -313818.9630872442   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: -304336.7849879629   ||  MeanChi2: -304336.7849879629   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: -304178.6109793352   ||  MeanChi2: -304178.6109793352   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: -304178.6109793352   ||  MeanChi2: -304178.6109793352   ||  StdChi2: 0.0   ||  
GenNb-26   ||  MinChi2: -304178.6109793352   ||  MeanChi2: -304178.6109793352   ||  StdChi2: 0.0   ||  
GenNb-27   ||  MinChi2: -304178.6109793352   ||  MeanChi2: -304178.6109793352   ||  StdChi2: 0.0   ||  
GenNb-28   ||  MinChi2: -292491.4008448134   ||  MeanChi2: -292491.4008448134   ||  StdChi2: 0.0   ||  
GenNb-29   ||  MinChi2: -292430.803516675   ||  MeanChi2: -292430.803516675   ||  StdChi2: 0.0   ||  
GenNb-30   ||  MinChi2: -284636.6945428256   ||  MeanChi2: -284636.6945428256   ||  StdChi2: 0.0   ||  
GenNb-31   ||  MinChi2: -284636.6945428256   ||  MeanChi2: -284636.6945428256   ||  StdChi2: 0.0   ||  
GenNb-32   ||  MinChi2: -284636.6945428256   ||  MeanChi2: -284636.6945428256   ||  StdChi2: 0.0   ||  
GenNb-33   ||  MinChi2: -279073.97343974485   ||  MeanChi2: -279073.97343974485   ||  StdChi2: 0.0   ||  
GenNb-34   ||  MinChi2: -277296.22873230913   ||  MeanChi2: -277296.22873230913   ||  StdChi2: 0.0   ||  
GenNb-35   ||  MinChi2: -274685.31368513324   ||  MeanChi2: -274685.31368513324   ||  StdChi2: 0.0   ||  
GenNb-36   ||  MinChi2: -274217.586294112   ||  MeanChi2: -274217.586294112   ||  StdChi2: 0.0   ||  
GenNb-37   ||  MinChi2: -274217.586294112   ||  MeanChi2: -274217.586294112   ||  StdChi2: 0.0   ||  
GenNb-38   ||  MinChi2: -274217.586294112   ||  MeanChi2: -274217.586294112   ||  StdChi2: 0.0   ||  
GenNb-39   ||  MinChi2: -266315.2082383348   ||  MeanChi2: -266315.2082383348   ||  StdChi2: 0.0   ||  
GenNb-40   ||  MinChi2: -266315.2082383348   ||  MeanChi2: -266315.2082383348   ||  StdChi2: 0.0   ||  
GenNb-41   ||  MinChi2: -266315.2082383348   ||  MeanChi2: -266315.2082383348   ||  StdChi2: 0.0   ||  
GenNb-42   ||  MinChi2: -262186.924792402   ||  MeanChi2: -262186.924792402   ||  StdChi2: 0.0   ||  
GenNb-43   ||  MinChi2: -262186.924792402   ||  MeanChi2: -262186.924792402   ||  StdChi2: 0.0   ||  
GenNb-44   ||  MinChi2: -256574.08793530866   ||  MeanChi2: -256574.08793530866   ||  StdChi2: 0.0   ||  
GenNb-45   ||  MinChi2: -256574.08793530866   ||  MeanChi2: -256574.08793530866   ||  StdChi2: 0.0   ||  
GenNb-46   ||  MinChi2: -255607.2665548397   ||  MeanChi2: -255607.2665548397   ||  StdChi2: 0.0   ||  
