GenNb-1   ||  MinChi2: 244.83034077717892   ||  MeanChi2: 736.6635259571285   ||  StdChi2: 170.81709140834676   ||  
GenNb-2   ||  MinChi2: 66.39758481362625   ||  MeanChi2: 682.0715246776097   ||  StdChi2: 205.65977947615812   ||  
GenNb-3   ||  MinChi2: 66.39758481362625   ||  MeanChi2: 648.3031501854969   ||  StdChi2: 208.05753713023222   ||  
GenNb-4   ||  MinChi2: 66.39758481362625   ||  MeanChi2: 614.5082448035132   ||  StdChi2: 218.18852943153414   ||  
GenNb-5   ||  MinChi2: 66.39758481362625   ||  MeanChi2: 567.3299652610912   ||  StdChi2: 218.68552241842605   ||  
GenNb-6   ||  MinChi2: 39.07206806690384   ||  MeanChi2: 493.33116892296937   ||  StdChi2: 236.65230443093105   ||  
GenNb-7   ||  MinChi2: 39.07206806690384   ||  MeanChi2: 449.72363585501597   ||  StdChi2: 236.6777523270389   ||  
