GenNb-1   ||  MinChi2: 328.0801884659187   ||  MeanChi2: 743.9300533238381   ||  StdChi2: 166.967988000683   ||  
GenNb-2   ||  MinChi2: 328.0801884659187   ||  MeanChi2: 734.1366220905845   ||  StdChi2: 159.07912942888382   ||  
GenNb-3   ||  MinChi2: 94.09369801475921   ||  MeanChi2: 635.2446748630024   ||  StdChi2: 236.94303168573848   ||  
GenNb-4   ||  MinChi2: 94.09369801475921   ||  MeanChi2: 620.262007402637   ||  StdChi2: 229.22417508892931   ||  
GenNb-5   ||  MinChi2: 94.09369801475921   ||  MeanChi2: 528.6394143368568   ||  StdChi2: 238.2990427797779   ||  
GenNb-6   ||  MinChi2: 94.09369801475921   ||  MeanChi2: 469.51214247528804   ||  StdChi2: 236.84765184868576   ||  
GenNb-7   ||  MinChi2: 94.09369801475921   ||  MeanChi2: 442.11290820788935   ||  StdChi2: 249.87294940118827   ||  
GenNb-8   ||  MinChi2: 94.09369801475921   ||  MeanChi2: 413.1813388650247   ||  StdChi2: 246.266175454767   ||  
GenNb-9   ||  MinChi2: 94.09369801475921   ||  MeanChi2: 365.64647145346254   ||  StdChi2: 200.05914052637405   ||  
GenNb-11   ||  MinChi2: 94.09369801475921   ||  MeanChi2: 364.6598366695689   ||  StdChi2: 199.46093106672998   ||  
GenNb-12   ||  MinChi2: 94.09369801475921   ||  MeanChi2: 313.4483362074235   ||  StdChi2: 176.89977698657566   ||  
GenNb-13   ||  MinChi2: 94.09369801475921   ||  MeanChi2: 280.7474079998825   ||  StdChi2: 158.2726566867349   ||  
GenNb-14   ||  MinChi2: 80.14760328553707   ||  MeanChi2: 249.05122412975226   ||  StdChi2: 142.4679632628581   ||  
GenNb-15   ||  MinChi2: 38.441290862574206   ||  MeanChi2: 199.3714311609867   ||  StdChi2: 119.12439488640729   ||  
GenNb-16   ||  MinChi2: 38.441290862574206   ||  MeanChi2: 137.15927390189216   ||  StdChi2: 95.08258834752381   ||  
GenNb-17   ||  MinChi2: 6.435677692839546   ||  MeanChi2: 98.24182982904996   ||  StdChi2: 61.21120931145659   ||  
