GenNb-1   ||  MinChi2: 670.4973661306492   ||  MeanChi2: 822.3779572051957   ||  StdChi2: 90.74607392051439   ||  
GenNb-2   ||  MinChi2: 670.4973661306492   ||  MeanChi2: 821.7149893595561   ||  StdChi2: 90.12574531626746   ||  
GenNb-3   ||  MinChi2: 407.3853376982691   ||  MeanChi2: 746.4188398606519   ||  StdChi2: 169.17182910391992   ||  
GenNb-4   ||  MinChi2: 406.7436831628076   ||  MeanChi2: 701.9335269711949   ||  StdChi2: 192.5405030733065   ||  
GenNb-5   ||  MinChi2: 406.7436831628076   ||  MeanChi2: 667.3303013092707   ||  StdChi2: 191.96828722746784   ||  
GenNb-6   ||  MinChi2: 330.092301975043   ||  MeanChi2: 576.7753884005069   ||  StdChi2: 183.23241023200148   ||  
GenNb-7   ||  MinChi2: 278.943432591187   ||  MeanChi2: 444.8549322396025   ||  StdChi2: 179.04287043142128   ||  
GenNb-8   ||  MinChi2: 278.943432591187   ||  MeanChi2: 433.6797307050574   ||  StdChi2: 161.80401071822806   ||  
GenNb-9   ||  MinChi2: 252.5171295499103   ||  MeanChi2: 424.0578151685133   ||  StdChi2: 159.73333647421353   ||  
GenNb-10   ||  MinChi2: 103.71412255704846   ||  MeanChi2: 336.8691428600955   ||  StdChi2: 110.63129124479485   ||  
GenNb-11   ||  MinChi2: 103.71412255704846   ||  MeanChi2: 313.03197586862643   ||  StdChi2: 83.64906889874393   ||  
GenNb-12   ||  MinChi2: 17.2939907628079   ||  MeanChi2: 242.90603966854633   ||  StdChi2: 110.02225883274433   ||  
GenNb-13   ||  MinChi2: 17.2939907628079   ||  MeanChi2: 213.13635052468007   ||  StdChi2: 98.86507628252569   ||  
GenNb-14   ||  MinChi2: 17.2939907628079   ||  MeanChi2: 170.89562300512523   ||  StdChi2: 105.95055573834983   ||  
GenNb-15   ||  MinChi2: 17.2939907628079   ||  MeanChi2: 130.1210896792005   ||  StdChi2: 95.79606608972047   ||  
GenNb-16   ||  MinChi2: 17.2939907628079   ||  MeanChi2: 106.81506772218953   ||  StdChi2: 65.02407047675567   ||  
GenNb-17   ||  MinChi2: 17.2939907628079   ||  MeanChi2: 88.19572035210093   ||  StdChi2: 55.259725146676104   ||  
GenNb-18   ||  MinChi2: 10.24140533653777   ||  MeanChi2: 58.475903990295556   ||  StdChi2: 54.07041442362006   ||  
GenNb-19   ||  MinChi2: 10.24140533653777   ||  MeanChi2: 52.820017292000294   ||  StdChi2: 40.307064172444925   ||  
GenNb-20   ||  MinChi2: 10.24140533653777   ||  MeanChi2: 36.17448025909639   ||  StdChi2: 27.858222145774004   ||  
GenNb-21   ||  MinChi2: 10.24140533653777   ||  MeanChi2: 30.961822720980432   ||  StdChi2: 22.709589377438054   ||  
GenNb-22   ||  MinChi2: 10.24140533653777   ||  MeanChi2: 23.166423348338025   ||  StdChi2: 13.240172369783036   ||  
GenNb-23   ||  MinChi2: 0.10965480476615766   ||  MeanChi2: 20.36765937083024   ||  StdChi2: 14.79537619922694   ||  
