GenNb-1   ||  MinChi2: 619.2028537218422   ||  MeanChi2: 799.9348886614911   ||  StdChi2: 93.30986576006278   ||  
GenNb-2   ||  MinChi2: 501.45925988125765   ||  MeanChi2: 715.3266875521883   ||  StdChi2: 124.08431487818152   ||  
GenNb-3   ||  MinChi2: 127.58244830440306   ||  MeanChi2: 650.1587057627913   ||  StdChi2: 191.96023055968007   ||  
GenNb-4   ||  MinChi2: 127.58244830440306   ||  MeanChi2: 537.9363218136433   ||  StdChi2: 241.60108918961757   ||  
GenNb-5   ||  MinChi2: 73.07574169579732   ||  MeanChi2: 489.5157843913601   ||  StdChi2: 234.20966124311283   ||  
GenNb-6   ||  MinChi2: 29.699038327318686   ||  MeanChi2: 336.467425482679   ||  StdChi2: 231.56333183126708   ||  
GenNb-7   ||  MinChi2: 29.699038327318686   ||  MeanChi2: 300.08163480410707   ||  StdChi2: 219.75070652380856   ||  
GenNb-8   ||  MinChi2: 29.699038327318686   ||  MeanChi2: 265.26133468033476   ||  StdChi2: 190.33574359057167   ||  
GenNb-9   ||  MinChi2: 15.87068144753969   ||  MeanChi2: 189.08190619254398   ||  StdChi2: 184.08202316243762   ||  
GenNb-10   ||  MinChi2: 15.87068144753969   ||  MeanChi2: 142.35092218680194   ||  StdChi2: 157.49596483287303   ||  
GenNb-11   ||  MinChi2: 15.87068144753969   ||  MeanChi2: 96.8692556626117   ||  StdChi2: 78.17570120157868   ||  
GenNb-12   ||  MinChi2: 5.473185529352652   ||  MeanChi2: 63.15909792841889   ||  StdChi2: 56.538034636485875   ||  
